yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513E9A1H	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A6P1ZZZ5	A0A6P1ZZZ5	A0A6P1ZZZ5_9CYAN	unreviewed	Phycobiliprotein ApcE	EA343_05145	Nodularia sp. (in: Bacteria)	1136	GO:0015979; GO:0016829; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; lyase activity [GO:0016829]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A7C2GLS3	A0A7C2GLS3	A0A7C2GLS3_9BACT	unreviewed	Fasciclin domain-containing protein	ENP81_11660	Blastocatellia bacterium	166		
A0A7C2XWI1	A0A7C2XWI1	A0A7C2XWI1_9BACT	unreviewed	DUF4331 domain-containing protein	ENQ60_08810	bacterium	728		
A0A7C3HPC7	A0A7C3HPC7	A0A7C3HPC7_9BACT	unreviewed	Fasciclin domain-containing protein	ENS78_13505	Bryobacterales bacterium	157		
A0A7C3KH53	A0A7C3KH53	A0A7C3KH53_9CYAN	unreviewed	Porin	ENR64_24640	Oscillatoriales cyanobacterium SpSt-418	576	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A7C3KI95	A0A7C3KI95	A0A7C3KI95_9CYAN	unreviewed	SLH domain-containing protein	ENR64_23250	Oscillatoriales cyanobacterium SpSt-418	577	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A7C3PEA6	A0A7C3PEA6	A0A7C3PEA6_9CYAN	unreviewed	ATP-dependent Clp protease ATP-binding subunit	ENR64_04175	Oscillatoriales cyanobacterium SpSt-418	821	GO:0005524; GO:0005737; GO:0008233; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]
A0A7C3VGC0	A0A7C3VGC0	A0A7C3VGC0_9CYAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	ENR15_06730	Planktothricoides sp. SpSt-374	338	GO:0006006; GO:0016620; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]
A0A7C4C091	A0A7C4C091	A0A7C4C091_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL ENS18_21325	Bryobacteraceae bacterium	542	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A7C9KKC6	A0A7C9KKC6	A0A7C9KKC6_9SPHN	unreviewed	Fasciclin domain-containing protein	F3168_15720	Polymorphobacter fuscus	141		
A0A7D7LEB0	A0A7D7LEB0	A0A7D7LEB0_9NOSO	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD atpB HUN01_25970	Nostoc edaphicum CCNP1411	482	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A7D7QRM1	A0A7D7QRM1	A0A7D7QRM1_9NOSO	unreviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk HUN01_31365	Nostoc edaphicum CCNP1411	149	GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
A0A7G6Z4U7	A0A7G6Z4U7	A0A7G6Z4U7_9MICO	unreviewed	50S ribosomal protein L7/L12	rplL F1C58_01780	Glaciihabitans sp. INWT7	127	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A7G6Z7D8	A0A7G6Z7D8	A0A7G6Z7D8_9MICO	unreviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK F1C58_06850	Glaciihabitans sp. INWT7	503	GO:0004370; GO:0005524; GO:0006072; GO:0019563	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]
A0A7G6Z8D1	A0A7G6Z8D1	A0A7G6Z8D1_9MICO	unreviewed	Aldehyde dehydrogenase	F1C58_08855	Glaciihabitans sp. INWT7	507	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]
A0A7G6ZCM3	A0A7G6ZCM3	A0A7G6ZCM3_9MICO	unreviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK F1C58_11575	Glaciihabitans sp. INWT7	502	GO:0004370; GO:0005524; GO:0006072; GO:0019563	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]
A0A7G7SBY3	A0A7G7SBY3	A0A7G7SBY3_9XANT	unreviewed	Fasciclin	HEP75_03721	Xanthomonas sp. SI	196		
A0A7G7VS15	A0A7G7VS15	A0A7G7VS15_9CYAN	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp H2674_22520	Limnospira sp. BM01	720	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A7G7VUJ5	A0A7G7VUJ5	A0A7G7VUJ5_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL H2674_27640	Limnospira sp. BM01	545	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A7G8VV73	A0A7G8VV73	A0A7G8VV73_9BURK	unreviewed	OmpA family protein	H7F36_12200	Variovorax sp. PAMC28562	217	GO:0016021	integral component of membrane [GO:0016021]
A0A7G8VYV3	A0A7G8VYV3	A0A7G8VYV3_9BURK	unreviewed	Fasciclin domain-containing protein	H7F36_19635	Variovorax sp. PAMC28562	137		
A0A7G8VZN1	A0A7G8VZN1	A0A7G8VZN1_9BURK	unreviewed	Phasin family protein	H7F36_21235	Variovorax sp. PAMC28562	183		
A0A7G8W1T6	A0A7G8W1T6	A0A7G8W1T6_9BURK	unreviewed	Fasciclin domain-containing protein	H7F36_03560	Variovorax sp. PAMC28562	195		
A0A7I0EGR3	A0A7I0EGR3	A0A7I0EGR3_9MICO	unreviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK E3T20_12505	Cryobacterium sp. TmT3-12	504	GO:0004370; GO:0005524; GO:0006072; GO:0019563	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]
A0A7I9Y0I1	A0A7I9Y0I1	A0A7I9Y0I1_9MYCO	unreviewed	Cell division protein FtsZ	ftsZ MBOT_29470	Mycobacterium botniense	379	GO:0051301	cell division [GO:0051301]
A0A7K1CN11	A0A7K1CN11	A0A7K1CN11_9ACTN	unreviewed	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC F2566_00180	Actinobacteria bacterium	359	GO:0005524	ATP binding [GO:0005524]
A0A7K1NJH8	A0A7K1NJH8	A0A7K1NJH8_9MICC	unreviewed	Cell division protein FtsZ	ftsZ GK109_02125	Pseudarthrobacter sp. GA104	411	GO:0051301	cell division [GO:0051301]
A0A7L2TIY4	A0A7L2TIY4	A0A7L2TIY4_POMRU	unreviewed	K1C12 protein (Fragment)	Krt12 POSRUF_R06957	Pomatostomus ruficeps (Chestnut-crowned babbler)	514		
A0A7L5A7Y0	A0A7L5A7Y0	A0A7L5A7Y0_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL FTO74_07905	Granulicella sp. WH15	556		
A0A7L5ADQ9	A0A7L5ADQ9	A0A7L5ADQ9_9MICO	unreviewed	50S ribosomal protein L7/L12	rplL BHD05_00650	Marisediminicola antarctica	126	GO:0005840	ribosome [GO:0005840]
A0A7L5AH34	A0A7L5AH34	A0A7L5AH34_9MICO	unreviewed	Aldehyde dehydrogenase	BHD05_09755	Marisediminicola antarctica	507		
A0A7M5VEI9	A0A7M5VEI9	A0A7M5VEI9_9CNID	unreviewed	Uncharacterized protein		Clytia hemisphaerica	663		
A3IQ24	A3IQ24	A3IQ24_9CHRO	unreviewed	Translation initiation factor IF-1	infA CY0110_05322	Crocosphaera chwakensis CCY0110	76	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
A3IRH5	A3IRH5	A3IRH5_9CHRO	unreviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL CY0110_21355	Crocosphaera chwakensis CCY0110	427	GO:0005737; GO:0006782; GO:0008483; GO:0030170; GO:0042286	cytoplasm [GO:0005737]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; protoporphyrinogen IX biosynthetic process [GO:0006782]
A3IWW6	A3IWW6	A3IWW6_9CHRO	unreviewed	Global nitrogen regulator	CY0110_23036	Crocosphaera chwakensis CCY0110	225	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
A8YIV7	A8YIV7	A8YIV7_MICAE	unreviewed	NtcA (Similar to Q4BWB1_CROWT Cyclic nucleotide-binding:Bacterial regulatory protein)	ntcA IPF_2241	Microcystis aeruginosa PCC 7806	225	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
B0C1L1	B0C1L1	B0C1L1_ACAM1	unreviewed	DNA-binding protein HU	hup AM1_5906	Acaryochloris marina (strain MBIC 11017)	93	GO:0003677	DNA binding [GO:0003677]
B1GSN8	B1GSN8	B1GSN8_9CYAN	unreviewed	C-phycocyanin alpha subunit (Fragment)	cpcA	Cylindrospermopsis raciborskii	93	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
B4WFW9	B4WFW9	B4WFW9_SYNS7	unreviewed	Uncharacterized protein	S7335_1634	Synechococcus sp. (strain ATCC 29403 / PCC 7335)	116		
B5W2I2	B5W2I2	B5W2I2_LIMMA	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp AmaxDRAFT_2977	Arthrospira maxima CS-328	720	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
B7JZ13	B7JZ13	B7JZ13_RIPO1	unreviewed	Transcriptional regulator, Crp/Fnr family	PCC8801_2058	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	225	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
B7K692	B7K692	B7K692_RIPO1	unreviewed	Peroxidase (EC 1.11.1.7)	PCC8801_4218	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	211	GO:0004601; GO:0051920	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]
B7KKS9	B7KKS9	B7KKS9_GLOC7	unreviewed	Phycobilisome protein	PCC7424_2634	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
B7KMW3	B7KMW3	B7KMW3_GLOC7	unreviewed	Beta-Ig-H3/fasciclin	PCC7424_5571	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	134		
B9A0N9	B9A0N9	B9A0N9_SYNP6	unreviewed	60 kDa chaperonin (Fragment)	groEL	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	495	GO:0005524; GO:0005737; GO:0016887; GO:0042026	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]
B9A0P6	B9A0P6	B9A0P6_ARTPT	unreviewed	60 kDa chaperonin (Fragment)	groEL	Arthrospira platensis (Spirulina platensis)	496	GO:0005524; GO:0016887; GO:0042026	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]
B9A0R6	B9A0R6	B9A0R6_9CYAN	unreviewed	60 kDa chaperonin (Fragment)	groEL	Symploca atlantica PCC 8002	450	GO:0005524; GO:0016887; GO:0042026	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]
C4GIB8	C4GIB8	C4GIB8_9NEIS	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL GCWU000324_00610	Kingella oralis ATCC 51147	547	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
D3EQH2	D3EQH2	D3EQH2_ATETH	unreviewed	Translation initiation factor IF-1	infA UCYN_10470	Atelocyanobacterium thalassa (isolate ALOHA)	75	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
D3PIP6	D3PIP6	D3PIP6_LEPSM	unreviewed	Actin	ACT	Lepeophtheirus salmonis (Salmon louse)	376		
D4ZSU6	D4ZSU6	D4ZSU6_ARTPN	unreviewed	Thioredoxin	trxA NIES39_G00780	Arthrospira platensis (strain NIES-39 / IAM M-135) (Spirulina platensis)	107	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
D4ZUI6	D4ZUI6	D4ZUI6_ARTPN	unreviewed	SLH domain-containing protein	NIES39_J04040	Arthrospira platensis (strain NIES-39 / IAM M-135) (Spirulina platensis)	618	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
D4ZWH1	D4ZWH1	D4ZWH1_ARTPN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL groEL1 NIES39_A01110	Arthrospira platensis (strain NIES-39 / IAM M-135) (Spirulina platensis)	545	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
D5X1Q6	D5X1Q6	D5X1Q6_THIK1	unreviewed	Superoxide dismutase (EC 1.15.1.1)	Tint_1682	Thiomonas intermedia (strain K12) (Thiobacillus intermedius)	193	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
D7B0D7	D7B0D7	D7B0D7_NOCDD	unreviewed	Cell division protein FtsZ	ftsZ Ndas_0900	Nocardiopsis dassonvillei (strain ATCC 23218 / DSM 43111 / CIP 107115 / JCM 7437 / KCTC 9190 / NBRC 14626 / NCTC 10488 / NRRL B-5397 / IMRU 509) (Actinomadura dassonvillei)	498	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
D8FWG4	D8FWG4	D8FWG4_9CYAN	unreviewed	BON domain-containing protein	OSCI_1020010	Kamptonema sp. PCC 6506	129		
D8FYQ9	D8FYQ9	D8FYQ9_9CYAN	unreviewed	Transcriptional regulator AbrB	OSCI_2020019	Kamptonema sp. PCC 6506	130	GO:0003677	DNA binding [GO:0003677]
D8FZ54	D8FZ54	D8FZ54_9CYAN	unreviewed	Extracellular ligand-binding receptor	OSCI_2210004	Kamptonema sp. PCC 6506	442	GO:0006865	amino acid transport [GO:0006865]
D8G5X7	D8G5X7	D8G5X7_9CYAN	unreviewed	Carbohydrate-selective porin OprB	OSCI_3590050	Kamptonema sp. PCC 6506	584	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
E0E2J4	E0E2J4	E0E2J4_9FIRM	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL HMPREF0634_1324	Peptostreptococcus stomatis DSM 17678	540	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
E0UJB3	E0UJB3	E0UJB3_GLOV7	unreviewed	Translation initiation factor IF-1	infA Cyan7822_5044	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	80	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
E8WVD9	E8WVD9	E8WVD9_GRATM	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL AciX9_1325	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	557	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
E9HBZ4	E9HBZ4	E9HBZ4_DAPPU	unreviewed	Uncharacterized protein	DAPPUDRAFT_256736	Daphnia pulex (Water flea)	664	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016192; GO:0016887; GO:0031072; GO:0034620; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0051787	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; vesicle-mediated transport [GO:0016192]
E9L6J6	E9L6J6	E9L6J6_9EUKA	unreviewed	PsbA (Fragment)	psbA	freshwater phytoplankton environmental sample	203	GO:0009523; GO:0009536; GO:0009772; GO:0016021; GO:0016168; GO:0018298; GO:0045156; GO:0046872	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plastid [GO:0009536]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]
E9L707	E9L707	E9L707_9EUKA	unreviewed	PsbA (Fragment)	psbA	freshwater phytoplankton environmental sample	203	GO:0009523; GO:0009536; GO:0009772; GO:0016021; GO:0016168; GO:0018298; GO:0045156; GO:0046872	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plastid [GO:0009536]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]
F0EYQ5	F0EYQ5	F0EYQ5_9NEIS	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL HMPREF9098_0989	Kingella denitrificans ATCC 33394	547	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
F4G514	F4G514	F4G514_ALIDK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	Alide2_2940	Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601)	193	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
F4G7B3	F4G7B3	F4G7B3_ALIDK	unreviewed	OmpA/MotB domain protein	Alide2_1982	Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601)	219	GO:0016021	integral component of membrane [GO:0016021]
F4XKX2	F4XKX2	F4XKX2_9CYAN	unreviewed	30S ribosomal protein S10	rpsJ rps10 LYNGBM3L_12780	Moorea producens 3L	105	GO:0000049; GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
F4XNE8	F4XNE8	F4XNE8_9CYAN	unreviewed	Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)	ahcY LYNGBM3L_24130	Moorea producens 3L	425	GO:0004013; GO:0005737; GO:0006730	cytoplasm [GO:0005737]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]
F5UAY3	F5UAY3	F5UAY3_9CYAN	unreviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC MicvaDRAFT_4168	Microcoleus vaginatus FGP-2	332	GO:0000287; GO:0004455; GO:0009097; GO:0009099; GO:0016853; GO:0050661	isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]
F5UCR3	F5UCR3	F5UCR3_9CYAN	unreviewed	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA MicvaDRAFT_3945	Microcoleus vaginatus FGP-2	505	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
F5UCS9	F5UCS9	F5UCS9_9CYAN	unreviewed	Two component transcriptional regulator, winged helix family	MicvaDRAFT_3963	Microcoleus vaginatus FGP-2	247	GO:0000160; GO:0003677; GO:0006355	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
F5UDQ3	F5UDQ3	F5UDQ3_9CYAN	unreviewed	Carbohydrate-selective porin OprB	MicvaDRAFT_1712	Microcoleus vaginatus FGP-2	696	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
F5UE53	F5UE53	F5UE53_9CYAN	unreviewed	Uncharacterized protein	MicvaDRAFT_1878	Microcoleus vaginatus FGP-2	170		
F5UEH2	F5UEH2	F5UEH2_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 MicvaDRAFT_2007	Microcoleus vaginatus FGP-2	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
F5UG09	F5UG09	F5UG09_9CYAN	unreviewed	Beta-Ig-H3/fasciclin	MicvaDRAFT_3131	Microcoleus vaginatus FGP-2	231		
F5UG82	F5UG82	F5UG82_9CYAN	unreviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC2 MicvaDRAFT_3209	Microcoleus vaginatus FGP-2	1376	GO:0003677; GO:0003899; GO:0006351; GO:0008270; GO:0016787	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
F5UGV3	F5UGV3	F5UGV3_9CYAN	unreviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk MicvaDRAFT_5527	Microcoleus vaginatus FGP-2	149	GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
F5UGZ3	F5UGZ3	F5UGZ3_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK MicvaDRAFT_5567	Microcoleus vaginatus FGP-2	638	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
F5UH28	F5UH28	F5UH28_9CYAN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES MicvaDRAFT_5253	Microcoleus vaginatus FGP-2	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
F5UKL3	F5UKL3	F5UKL3_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL MicvaDRAFT_0733	Microcoleus vaginatus FGP-2	566	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
