"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"361","tr|A0A2W7B830|A0A2W7B830_9CYAN",8,513,"10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1",47254,NA,NA,NA,2,2,3
"362","tr|A0A2W7BB34|A0A2W7BB34_9CYAN",5,1612,"Peroxiredoxin OS=Leptolyngbya sp. OX=47254 GN=DCF22_05850 PE=3 SV=1",47254,2,2,NA,NA,2,NA
"363","tr|A0A2W7BFY6|A0A2W7BFY6_9CYAN",4,1512,"Phycobiliprotein ApcE OS=Leptolyngbya sp. OX=47254 GN=DCF22_03035 PE=3 SV=1",47254,NA,6,4,NA,NA,NA
"364","tr|A0A2W7BHQ9|A0A2W7BHQ9_9CYAN",3,1447,"DNA-directed RNA polymerase subunit beta OS=Leptolyngbya sp. OX=47254 GN=rpoB PE=3 SV=1",47254,NA,5,NA,NA,NA,NA
"365","tr|A0A2Z3GHE9|A0A2Z3GHE9_9BACT",5,1460,"Por_Secre_tail domain-containing protein OS=Hymenobacter nivis OX=1850093 GN=DDQ68_01790 PE=4 SV=1",1850093,4,3,NA,5,3,6
"366","tr|A0A2Z3GJ66|A0A2Z3GJ66_9BACT",3,2176,"SusC/RagA family protein OS=Hymenobacter nivis OX=1850093 GN=DDQ68_05530 PE=3 SV=1",1850093,NA,NA,NA,2,4,5
"367","tr|A0A2Z3GJP7|A0A2Z3GJP7_9BACT",4,1657,"OmpA-like domain-containing protein OS=Hymenobacter nivis OX=1850093 GN=DDQ68_03400 PE=4 SV=1",1850093,2,NA,6,7,3,NA
"368","tr|A0A2Z3GK84|A0A2Z3GK84_9BACT",3,1742,"OMP_b-brl_2 domain-containing protein OS=Hymenobacter nivis OX=1850093 GN=DDQ68_18570 PE=4 SV=1",1850093,NA,NA,NA,4,11,2
"369","tr|A0A2Z3GLB4|A0A2Z3GLB4_9BACT",3,1900,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter nivis OX=1850093 GN=DDQ68_20900 PE=3 SV=1",1850093,NA,NA,NA,2,9,4
"370","tr|A0A2Z3GQB7|A0A2Z3GQB7_9BACT",5,387,"Uncharacterized protein OS=Hymenobacter nivis OX=1850093 GN=DDQ68_14520 PE=4 SV=1",1850093,5,NA,7,15,11,44
"371","tr|A0A2Z3GV62|A0A2Z3GV62_9BACT",2,2167,"TonB-dependent receptor OS=Hymenobacter nivis OX=1850093 GN=DDQ68_20215 PE=4 SV=1",1850093,NA,NA,NA,5,6,NA
"372","tr|A0A2Z4HGE4|A0A2Z4HGE4_9EUKA",4,1321,"Photosystem I reaction center subunit IV OS=Cyanophora sudae OX=1522369 GN=psaE PE=3 SV=1",1522369,5,6,12,NA,2,NA
"373","tr|A0A2Z6CEZ3|A0A2Z6CEZ3_PLAAG",4,2059,"Translation initiation factor IF-1 OS=Planktothrix agardhii NIES-204 OX=282423 GN=infA PE=3 SV=1",282423,4,4,3,NA,NA,NA
"374","tr|A0A318QW11|A0A318QW11_9PROT",2,1604,"30S ribosomal protein S19 OS=Komagataeibacter oboediens OX=65958 GN=rpsS PE=3 SV=1",65958,5,NA,14,NA,NA,NA
"375","tr|A0A318X6Q0|A0A318X6Q0_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. CF476 OX=2135474 GN=rpsS PE=3 SV=1",2135474,5,NA,14,NA,NA,NA
"376","tr|A0A326UG67|A0A326UG67_9CHLR",2,3028,"10 kDa chaperonin OS=Thermosporothrix hazakensis OX=644383 GN=groS PE=3 SV=1",644383,2,2,NA,NA,NA,NA
"377","tr|A0A328IGN0|A0A328IGN0_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Hapalosiphonaceae cyanobacterium JJU2 OX=2109628 GN=infA PE=3 SV=1",2109628,4,4,3,NA,NA,NA
"378","tr|A0A346DVS5|A0A346DVS5_9PROT",5,1327,"OmpA family protein OS=Acetobacter pomorum OX=65959 GN=CJF59_09915 PE=4 SV=1",65959,3,4,8,4,6,NA
"379","tr|A0A346QR77|A0A346QR77_PROCL",8,264,"Cytoplasmic actin 1 (Fragment) OS=Procambarus clarkii OX=6728 GN=Actb PE=2 SV=1",6728,NA,8,3,7,12,2
"380","tr|A0A348MQS6|A0A348MQS6_9RHOB",2,1604,"30S ribosomal protein S19 OS=Rhodobacter sp. OX=1062 GN=rpsS PE=3 SV=1",1062,5,NA,14,NA,NA,NA
"381","tr|A0A354V935|A0A354V935_9PROT",6,1271,"Cold-shock protein OS=Acetobacteraceae bacterium OX=1909293 GN=DDZ81_21905 PE=4 SV=1",1909293,5,3,4,6,4,3
"382","tr|A0A367PYT2|A0A367PYT2_9NOSO",5,1329,"Nucleoside diphosphate kinase OS=Nostoc sp. ATCC 43529 OX=1840705 GN=ndk PE=3 SV=1",1840705,NA,3,2,NA,2,NA
"383","tr|A0A369TMV7|A0A369TMV7_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thalassococcus profundi OX=2282382 GN=rpsS PE=3 SV=1",2282382,5,NA,14,NA,NA,NA
"384","tr|A0A372IMX0|A0A372IMX0_9BACT",4,1381,"Cold-shock protein OS=Acidipila sp. 4G-K13 OX=2303751 GN=D0Y96_11800 PE=4 SV=1",2303751,4,NA,6,9,4,NA
"385","tr|A0A388PW82|A0A388PW82_9ACTN",4,1689,"Cold shock protein ScoF OS=Actinobacteria bacterium OX=1883427 GN=EMGBS13_02050 PE=4 SV=1",1883427,2,NA,NA,6,5,6
"386","tr|A0A397S3J8|A0A397S3J8_9BURK",2,2231,"RNA recognition motif-containing protein OS=Pelomonas sp. BT06 OX=2135721 GN=C8K28_1268 PE=4 SV=1",2135721,NA,NA,NA,6,3,NA
"387","tr|A0A3A5M9Q3|A0A3A5M9Q3_9MICO",3,2645,"LemA family protein OS=Cryobacterium sp. Hh39 OX=995039 GN=D6T64_17175 PE=3 SV=1",995039,NA,NA,2,2,3,NA
"388","tr|A0A3A5MAD6|A0A3A5MAD6_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. Hh39 OX=995039 GN=D6T64_16780 PE=3 SV=1",995039,NA,NA,3,NA,2,NA
"389","tr|A0A3C0YB48|A0A3C0YB48_9BURK",2,2873,"Transporter OS=Polaromonas sp. OX=1869339 GN=DCP03_17800 PE=4 SV=1",1869339,NA,NA,NA,NA,3,3
"390","tr|A0A3C1DZK8|A0A3C1DZK8_9MICO",4,1027,"Phosphate-binding protein PstS OS=Microbacteriaceae bacterium OX=1873462 GN=pstS PE=3 SV=1",1873462,NA,NA,5,10,7,9
"391","tr|A0A3C1LYK1|A0A3C1LYK1_9CYAN",2,2756,"Global nitrogen regulator NtcA OS=Cyanobacteria bacterium UBA8156 OX=2055767 GN=ntcA PE=4 SV=1",2055767,NA,2,NA,NA,NA,NA
"392","tr|A0A3D1AWC4|A0A3D1AWC4_9BACT",5,1523,"TonB-dependent receptor OS=Bryobacterales bacterium OX=2026791 GN=DEQ47_08750 PE=4 SV=1",2026791,7,3,3,5,2,NA
"393","tr|A0A3D1PCV2|A0A3D1PCV2_9CYAN",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Cyanobacteria bacterium UBA11049 OX=2055787 GN=kdpB PE=3 SV=1",2055787,NA,2,3,NA,NA,NA
"394","tr|A0A3D2J228|A0A3D2J228_9CHLR",2,3028,"10 kDa chaperonin OS=Ktedonobacter sp. OX=1932716 GN=groS PE=3 SV=1",1932716,2,2,NA,NA,NA,NA
"395","tr|A0A3D2J724|A0A3D2J724_9CHLR",4,1951,"ATP synthase subunit alpha OS=Ktedonobacter sp. OX=1932716 GN=atpA PE=3 SV=1",1932716,NA,4,NA,NA,2,NA
"396","tr|A0A3D5G367|A0A3D5G367_9CYAN",3,2132,"50S ribosomal protein L4 OS=Microcoleaceae bacterium UBA9251 OX=2055794 GN=rplD PE=3 SV=1",2055794,NA,2,NA,NA,NA,NA
"397","tr|A0A3D8K7L8|A0A3D8K7L8_9BURK",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Trinickia dinghuensis OX=2291023 GN=DWV00_02070 PE=4 SV=1",2291023,3,NA,2,NA,NA,NA
"398","tr|A0A3E0LGA9|A0A3E0LGA9_9CHRO",2,2756,"Global nitrogen regulator NtcA OS=Microcystis flos-aquae DF17 OX=2060470 GN=ntcA PE=4 SV=1",2060470,NA,2,NA,NA,NA,NA
"399","tr|A0A3E0MHP1|A0A3E0MHP1_MICAE",2,2756,"Global nitrogen regulator NtcA OS=Microcystis aeruginosa DA14 OX=1987506 GN=ntcA PE=4 SV=1",1987506,NA,2,NA,NA,NA,NA
"400","tr|A0A3E0W8F7|A0A3E0W8F7_9MICO",4,1353,"Uncharacterized protein OS=Subtercola boreus OX=120213 GN=B7R25_15685 PE=4 SV=1",120213,7,NA,3,5,7,NA
"401","tr|A0A3G4ZVK3|A0A3G4ZVK3_9VIRU",7,726,"Polyubiquitin OS=Edafosvirus sp. OX=2487765 GN=Edafosvirus51_4 PE=4 SV=1",2487765,2,NA,2,7,25,4
"402","tr|A0A3G9JSM5|A0A3G9JSM5_MICVR",2,2756,"Global nitrogen regulator Ycf28 OS=Microcystis viridis NIES-102 OX=213615 GN=ntcA PE=4 SV=1",213615,NA,2,NA,NA,NA,NA
"403","tr|A0A3M1P4C3|A0A3M1P4C3_9CYAN",2,2670,"30S ribosomal protein S8 OS=Cyanobacteria bacterium J069 OX=2420337 GN=rpsH PE=3 SV=1",2420337,2,2,NA,NA,NA,NA
"404","tr|A0A3M1P5L7|A0A3M1P5L7_9CYAN",3,2018,"DUF1257 domain-containing protein OS=Cyanobacteria bacterium J069 OX=2420337 GN=D6742_18635 PE=4 SV=1",2420337,NA,5,4,NA,NA,NA
"405","tr|A0A3M1P9Q4|A0A3M1P9Q4_9CYAN",9,268,"Allophycocyanin OS=Cyanobacteria bacterium J069 OX=2420337 GN=D6742_17510 PE=3 SV=1",2420337,10,28,25,12,16,8
"406","tr|A0A3M9Z9B4|A0A3M9Z9B4_9CYAN",5,1744,"30S ribosomal protein S19 OS=Leptolyngbya sp. IPPAS B-1204 OX=2483801 GN=rpsS PE=3 SV=1",2483801,3,3,7,NA,NA,NA
"407","tr|A0A3M9ZAE5|A0A3M9ZAE5_9CYAN",7,882,"Fructose-1 6-bisphosphate aldolase OS=Leptolyngbya sp. IPPAS B-1204 OX=2483801 GN=fba PE=3 SV=1",2483801,3,8,7,3,5,NA
"408","tr|A0A3M9ZEI8|A0A3M9ZEI8_9CYAN",3,2018,"DUF1257 domain-containing protein OS=Leptolyngbya sp. IPPAS B-1204 OX=2483801 GN=EDM05_03035 PE=4 SV=1",2483801,NA,5,4,NA,NA,NA
"409","tr|A0A3N1JRM3|A0A3N1JRM3_9BACT",4,1381,"Putative cold-shock DNA-binding protein OS=Granulicella sp. GAS466 OX=2485170 GN=EDE14_4523 PE=4 SV=1",2485170,4,NA,6,9,4,NA
"410","tr|A0A3N7C2H0|A0A3N7C2H0_9BURK",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Paucibacter sp. KBW04 OX=2153361 GN=rpoC PE=3 SV=1",2153361,NA,4,NA,NA,NA,NA
"411","tr|A0A3R9NV48|A0A3R9NV48_9BACT",3,2211,"Superoxide dismutase OS=Edaphobacter aggregans OX=570835 GN=EDE15_3016 PE=3 SV=1",570835,4,NA,2,NA,3,NA
"412","tr|A0A3R9PBU1|A0A3R9PBU1_9BACT",4,1381,"Putative cold-shock DNA-binding protein OS=Edaphobacter aggregans OX=570835 GN=EDE15_3772 PE=4 SV=1",570835,4,NA,6,9,4,NA
"413","tr|A0A3S0FAN3|A0A3S0FAN3_9SPHI",2,2747,"DUF4331 domain-containing protein OS=Sphingobacteriales bacterium OX=2044944 GN=EKK37_13365 PE=4 SV=1",2044944,NA,NA,NA,2,NA,4
"414","tr|A0A401WRM1|A0A401WRM1_ACEPA",5,1327,"Outer membrane protein OmpA OS=Acetobacter pasteurianus NBRC 3188 OX=1226663 GN=ompA PE=4 SV=1",1226663,3,4,8,4,6,NA
"415","tr|A0A402CYT0|A0A402CYT0_9BACT",5,968,"SLH domain-containing protein OS=Capsulimonas corticalis OX=2219043 GN=CCAX7_36180 PE=4 SV=1",2219043,4,NA,5,7,15,3
"416","tr|A0A402D103|A0A402D103_9BACT",6,1445,"RNA-binding protein OS=Capsulimonas corticalis OX=2219043 GN=CCAX7_43620 PE=4 SV=1",2219043,5,2,4,8,2,2
"417","tr|A0A402D124|A0A402D124_9BACT",3,1980,"60 kDa chaperonin OS=Capsulimonas corticalis OX=2219043 GN=groL PE=3 SV=1",2219043,NA,2,NA,NA,6,4
"418","tr|A0A411HHG1|A0A411HHG1_9GAMM",2,2310,"OmpA family protein OS=Pseudolysobacter antarcticus OX=2511995 GN=ELE36_05375 PE=4 SV=1",2511995,NA,3,NA,NA,6,NA
"419","tr|A0A420DQE6|A0A420DQE6_9RHOB",2,1604,"30S ribosomal protein S19 OS=Sulfitobacter guttiformis OX=74349 GN=rpsS PE=3 SV=1",74349,5,NA,14,NA,NA,NA
"420","tr|A0A426TSN7|A0A426TSN7_9CHLR",3,894,"60 kDa chaperonin OS=Candidatus Viridilinea halotolerans OX=2491704 GN=groL PE=3 SV=1",2491704,NA,8,NA,NA,NA,NA
"421","tr|A0A428MJG2|A0A428MJG2_9BACT",5,1792,"Carboxypeptidase family protein OS=Edaphobacter aggregans OX=570835 GN=EDE15_2476 PE=4 SV=1",570835,4,NA,3,2,5,2
"422","tr|A0A430D6V1|A0A430D6V1_9SPHN",3,2608,"TonB-dependent receptor OS=Sphingomonas sp. S-NIH.Pt3_0716 OX=1920124 GN=BRX37_14865 PE=3 SV=1",1920124,NA,NA,NA,2,3,3
"423","tr|A0A455SP99|A0A455SP99_9CHLR",2,3028,"10 kDa chaperonin OS=Thermosporothrix sp. COM3 OX=2490863 GN=groS_1 PE=3 SV=1",2490863,2,2,NA,NA,NA,NA
"424","tr|A0A479ZU07|A0A479ZU07_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Sphaerospermopsis reniformis OX=531300 GN=infA PE=3 SV=1",531300,4,4,3,NA,NA,NA
"425","tr|A0A480A666|A0A480A666_9CYAN",3,1142,"Winged helix family two component transcriptional regulator OS=Sphaerospermopsis reniformis OX=531300 GN=SR1949_44920 PE=4 SV=1",531300,NA,9,NA,NA,NA,NA
"426","tr|A0A480A6S8|A0A480A6S8_9CYAN",4,1101,"Microcompartments protein OS=Dolichospermum planctonicum OX=136072 GN=NIES80_04340 PE=3 SV=1",136072,NA,5,3,NA,NA,NA
"427","tr|A0A495BSK4|A0A495BSK4_9BACT",4,1381,"Putative cold-shock DNA-binding protein OS=Edaphobacter dinghuensis OX=1560005 GN=C8E94_1593 PE=4 SV=1",1560005,4,NA,6,9,4,NA
"428","tr|A0A497ZGQ9|A0A497ZGQ9_9RHOB",2,1604,"30S ribosomal protein S19 OS=Ruegeria conchae OX=981384 GN=rpsS PE=3 SV=1",981384,5,NA,14,NA,NA,NA
"429","tr|A0A4D9CHG1|A0A4D9CHG1_MASLA",4,2059,"Translation initiation factor IF-1 OS=Mastigocladus laminosus UU774 OX=1594576 GN=infA PE=3 SV=1",1594576,4,4,3,NA,NA,NA
"430","tr|A0A4P7QM43|A0A4P7QM43_9SPHN",3,2608,"TonB-dependent receptor OS=Sphingobium sp. PAMC28499 OX=2565554 GN=E5554_03805 PE=3 SV=1",2565554,NA,NA,NA,2,3,3
"431","tr|A0A4P7Z9U4|A0A4P7Z9U4_9PROT",2,1604,"30S ribosomal protein S19 OS=Azospirillum sp. TSA2s OX=709810 GN=rpsS PE=3 SV=1",709810,5,NA,14,NA,NA,NA
"432","tr|A0A4Q0T6Z0|A0A4Q0T6Z0_9BACT",4,1381,"Cold-shock DNA-binding protein OS=Granulicella sibirica OX=2479048 GN=GRAN_0671 PE=4 SV=1",2479048,4,NA,6,9,4,NA
"433","tr|A0A4Q2RFY8|A0A4Q2RFY8_9RHIZ",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Lichenibacterium ramalinae OX=2316527 GN=D3272_11750 PE=4 SV=1",2316527,3,NA,2,NA,NA,NA
"434","tr|A0A4Q2UAL5|A0A4Q2UAL5_9RHIZ",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Lichenibacterium minor OX=2316528 GN=D3273_03680 PE=4 SV=1",2316528,3,NA,2,NA,NA,NA
"435","tr|A0A4Q3IYK0|A0A4Q3IYK0_9DELT",6,520,"60 kDa chaperonin OS=Myxococcales bacterium OX=2026763 GN=groL PE=3 SV=1",2026763,6,11,5,NA,30,NA
"436","tr|A0A4Q3MJI0|A0A4Q3MJI0_9BURK",2,2848,"Phosphate-binding protein PstS (Fragment) OS=Comamonadaceae bacterium OX=1871071 GN=pstS PE=3 SV=1",1871071,NA,NA,NA,3,3,NA
"437","tr|A0A4Q3TNL4|A0A4Q3TNL4_9BURK",4,1191,"Porin OS=Burkholderiales bacterium OX=1891238 GN=EON92_03565 PE=4 SV=1",1891238,NA,NA,3,6,12,5
"438","tr|A0A4Q5QII1|A0A4Q5QII1_9PROT",8,563,"60 kDa chaperonin (Fragment) OS=Alphaproteobacteria bacterium OX=1913988 GN=groL PE=3 SV=1",1913988,5,13,12,NA,12,3
"439","tr|A0A4Q5QNF4|A0A4Q5QNF4_9PROT",5,1616,"HU family DNA-binding protein OS=Alphaproteobacteria bacterium OX=1913988 GN=EON55_18265 PE=3 SV=1",1913988,3,4,4,NA,6,3
"440","tr|A0A4R5LA80|A0A4R5LA80_9BURK",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Paraburkholderia guartelaensis OX=2546446 GN=E1N52_22445 PE=4 SV=1",2546446,3,NA,2,NA,NA,NA
"441","tr|A0A4R6QQ41|A0A4R6QQ41_9BURK",2,2231,"RNA recognition motif-containing protein OS=Paucibacter toxinivorans OX=270368 GN=DES47_102347 PE=4 SV=1",270368,NA,NA,NA,6,3,NA
"442","tr|A0A4R8UUI6|A0A4R8UUI6_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. Hz9 OX=1259167 GN=E3N85_01160 PE=3 SV=1",1259167,NA,NA,3,NA,2,NA
"443","tr|A0A4R8V2C9|A0A4R8V2C9_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. HLT2-23 OX=1259145 GN=E3O06_05545 PE=3 SV=1",1259145,NA,NA,3,NA,2,NA
"444","tr|A0A4R8VRM2|A0A4R8VRM2_9MICO",2,2731,"Sugar ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB2-B OX=1259183 GN=E3O44_08580 PE=4 SV=1",1259183,NA,NA,NA,NA,4,2
"445","tr|A0A4R8VT96|A0A4R8VT96_9MICO",2,2305,"30S ribosomal protein S9 OS=Cryobacterium sp. MDB2-B OX=1259183 GN=rpsI PE=3 SV=1",1259183,NA,NA,NA,NA,NA,6
"446","tr|A0A4R8W087|A0A4R8W087_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. RHLS22-1 OX=1259189 GN=E3O42_13660 PE=3 SV=1",1259189,NA,NA,3,NA,2,NA
"447","tr|A0A4R8W6Z5|A0A4R8W6Z5_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. RHLT2-21 OX=1259190 GN=E3O32_11070 PE=3 SV=1",1259190,NA,NA,3,NA,2,NA
"448","tr|A0A4R8WG39|A0A4R8WG39_9MICO",2,2860,"Amino acid ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_16945 PE=4 SV=1",1259182,NA,NA,NA,3,3,NA
"449","tr|A0A4R8WL27|A0A4R8WL27_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_09760 PE=3 SV=1",1259182,NA,NA,3,NA,2,NA
"450","tr|A0A4R8WTW5|A0A4R8WTW5_9MICO",3,742,"Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1",1259182,NA,NA,NA,18,20,6
"451","tr|A0A4R8WXY6|A0A4R8WXY6_9MICO",3,1044,"Fn3_like domain-containing protein OS=Cryobacterium sp. MDT1-3 OX=1259184 GN=E3O19_05365 PE=3 SV=1",1259184,NA,NA,NA,11,17,3
"452","tr|A0A4R8XB17|A0A4R8XB17_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT2-4 OX=1259254 GN=E3O54_07535 PE=3 SV=1",1259254,NA,NA,3,NA,2,NA
"453","tr|A0A4R8XPT6|A0A4R8XPT6_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TmT2-48-2 OX=1259262 GN=E3T23_11510 PE=3 SV=1",1259262,NA,NA,3,NA,2,NA
"454","tr|A0A4R8YKV2|A0A4R8YKV2_9MICO",8,1380,"Glycerol kinase OS=Cryobacterium breve OX=1259258 GN=glpK PE=3 SV=1",1259258,2,4,3,2,4,NA
"455","tr|A0A4R8ZI77|A0A4R8ZI77_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT1-1 OX=1259228 GN=E3T27_02185 PE=3 SV=1",1259228,NA,NA,3,NA,2,NA
"456","tr|A0A4R8ZW46|A0A4R8ZW46_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. Hh14 OX=1259150 GN=E3T55_14740 PE=3 SV=1",1259150,NA,NA,3,NA,2,NA
"457","tr|A0A4R9A7N5|A0A4R9A7N5_9MICO",3,2645,"LemA family protein OS=Cryobacterium sp. Hh14 OX=1259150 GN=E3T55_05280 PE=3 SV=1",1259150,NA,NA,2,2,3,NA
"458","tr|A0A4R9BSE3|A0A4R9BSE3_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. Sr54 OX=1259201 GN=E3T51_04610 PE=3 SV=1",1259201,NA,NA,3,NA,2,NA
"459","tr|A0A4T2C9N3|A0A4T2C9N3_9MICO",2,2754,"Integration host factor OS=Subtercola vilae OX=2056433 GN=D4765_00485 PE=3 SV=1",2056433,NA,NA,2,NA,4,NA
"460","tr|A0A4V1L549|A0A4V1L549_9BACT",2,2611,"Dehydrogenase OS=Granulicella sibirica OX=2479048 GN=GRAN_3627 PE=4 SV=1",2479048,5,NA,3,NA,NA,NA
"461","tr|A0A4V1NVY3|A0A4V1NVY3_9BACT",4,1381,"Cold shock domain-containing protein OS=Acidipila dinghuensis OX=1560006 GN=ESZ00_06430 PE=4 SV=1",1560006,4,NA,6,9,4,NA
"462","tr|A0A4V1TWG4|A0A4V1TWG4_9BURK",2,2848,"Phosphate-binding protein PstS OS=Comamonadaceae bacterium OX=1871071 GN=pstS PE=3 SV=1",1871071,NA,NA,NA,3,3,NA
"463","tr|A0A4V3ESJ8|A0A4V3ESJ8_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thioclava sp. ES.032 OX=1798206 GN=rpsS PE=3 SV=1",1798206,5,NA,14,NA,NA,NA
"464","tr|A0A4V3IBE8|A0A4V3IBE8_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. MDB2-B OX=1259183 GN=E3O44_11235 PE=3 SV=1",1259183,NA,NA,3,NA,2,NA
"465","tr|A0A4V3IXW3|A0A4V3IXW3_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. Sr59 OX=1259202 GN=E3T61_05365 PE=3 SV=1",1259202,NA,NA,3,NA,2,NA
"466","tr|A0A4V6QGL0|A0A4V6QGL0_9MICO",2,2860,"Amino acid ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB2-B OX=1259183 GN=E3O44_07705 PE=4 SV=1",1259183,NA,NA,NA,3,3,NA
"467","tr|A0A4Y8JJN0|A0A4Y8JJN0_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT2-15-1 OX=1259246 GN=E3O62_12180 PE=3 SV=1",1259246,NA,NA,3,NA,2,NA
"468","tr|A0A4Y8JWD3|A0A4Y8JWD3_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT1-51 OX=1259239 GN=E3T49_09320 PE=3 SV=1",1259239,NA,NA,3,NA,2,NA
"469","tr|A0A4Y8KFV2|A0A4Y8KFV2_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. Hb1 OX=1259147 GN=E3T38_08160 PE=3 SV=1",1259147,NA,NA,3,NA,2,NA
"470","tr|A0A4Y8KKN5|A0A4Y8KKN5_9MICO",3,2645,"LemA family protein OS=Cryobacterium psychrophilum OX=41988 GN=E3T53_15065 PE=3 SV=1",41988,NA,NA,2,2,3,NA
"471","tr|A0A4Y8KLM4|A0A4Y8KLM4_9MICO",2,3004,"Integration host factor OS=Cryobacterium psychrophilum OX=41988 GN=E3T53_11185 PE=3 SV=1",41988,NA,NA,3,NA,2,NA
"472","tr|A0A4Z0PAC3|A0A4Z0PAC3_9BACT",3,1910,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sp. 92R-1 OX=2510796 GN=EU556_01600 PE=3 SV=1",2510796,NA,NA,NA,4,6,4
"473","tr|A0A502CSM5|A0A502CSM5_9SPHN",3,1876,"Fasciclin domain-containing protein OS=Sphingomonas oligophenolica OX=301154 GN=EAH84_01535 PE=4 SV=1",301154,7,4,3,NA,NA,NA
"474","tr|A0A502FUK4|A0A502FUK4_9SPHN",3,1876,"Fasciclin domain-containing protein OS=Sphingomonas glacialis OX=658225 GN=EAH76_12320 PE=4 SV=1",658225,7,4,3,NA,NA,NA
"475","tr|A0A502G4A7|A0A502G4A7_9SPHN",2,2719,"TonB-dependent receptor OS=Sphingomonas glacialis OX=658225 GN=EAH76_02215 PE=3 SV=1",658225,4,2,NA,NA,NA,NA
"476","tr|A0A502GZB6|A0A502GZB6_9BACT",3,1765,"TonB-dependent receptor OS=Hymenobacter nivis OX=1850093 GN=EAH73_08415 PE=3 SV=1",1850093,NA,NA,2,NA,8,6
"477","tr|A0A511A8V3|A0A511A8V3_9MICO",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Frigoribacterium faeni OX=145483 GN=FFA01_29430 PE=4 SV=1",145483,3,NA,2,NA,NA,NA
"478","tr|A0A519T900|A0A519T900_9BACT",2,2880,"Ferritin-like domain-containing protein OS=Hymenobacter sp. OX=1898978 GN=EOO63_03900 PE=4 SV=1",1898978,NA,NA,NA,NA,3,2
"479","tr|A0A519UCI1|A0A519UCI1_9SPHI",6,1993,"SusC/RagA family protein (Fragment) OS=Pedobacter sp. OX=1411316 GN=EOO94_04795 PE=4 SV=1",1411316,2,2,4,2,2,2
"480","tr|A0A519Y155|A0A519Y155_9RHIZ",5,627,"Porin (Fragment) OS=Methylobacterium sp. OX=409 GN=EOO66_14585 PE=4 SV=1",409,9,5,17,5,13,NA
"481","tr|A0A520BZC1|A0A520BZC1_9BURK",2,2231,"RNA-binding protein (Fragment) OS=Rubrivivax sp. OX=50259 GN=EOP35_05920 PE=4 SV=1",50259,NA,NA,NA,6,3,NA
"482","tr|A0A520GPQ6|A0A520GPQ6_9BURK",2,2848,"Phosphate-binding protein PstS OS=Variovorax sp. OX=1871043 GN=pstS PE=3 SV=1",1871043,NA,NA,NA,3,3,NA
"483","tr|A0A522DFG8|A0A522DFG8_9MICO",7,1646,"Cold-shock protein OS=Salinibacterium sp. OX=1915057 GN=EPN91_12160 PE=4 SV=1",1915057,2,NA,2,4,2,NA
"484","tr|A0A522ZZH7|A0A522ZZH7_9BURK",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Burkholderiaceae bacterium OX=2030806 GN=EPN64_09245 PE=4 SV=1",2030806,3,NA,2,NA,NA,NA
"485","tr|A0A535UPL6|A0A535UPL6_9CHLR",2,2649,"Dihydroxyacetone kinase subunit DhaK OS=Chloroflexi bacterium OX=2026724 GN=dhaK PE=4 SV=1",2026724,3,5,NA,NA,NA,NA
