yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A2T1GF93	A0A2T1GF93	A0A2T1GF93_9CYAN	unreviewed	DNA nickase	C7B77_12715	Chamaesiphon polymorphus CCALA 037	345		
A0A2T1GG36	A0A2T1GG36	A0A2T1GG36_9CYAN	unreviewed	AbrB family transcriptional regulator	C7B77_11470	Chamaesiphon polymorphus CCALA 037	133	GO:0003677	DNA binding [GO:0003677]
A0A2T1GHK6	A0A2T1GHK6	A0A2T1GHK6_9CYAN	unreviewed	Thioredoxin	trxA C7B77_09325	Chamaesiphon polymorphus CCALA 037	107	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
A0A2T1GIM2	A0A2T1GIM2	A0A2T1GIM2_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB C7B77_07835	Chamaesiphon polymorphus CCALA 037	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W4W264	A0A2W4W264	A0A2W4W264_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH DCF17_14735	Shackletoniella antarctica	515	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A2W4X9H1	A0A2W4X9H1	A0A2W4X9H1_9CYAN	unreviewed	Phycocyanin subunit alpha	cpcA DCF15_12300	Phormidesmis priestleyi	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W4XQ19	A0A2W4XQ19	A0A2W4XQ19_9CYAN	unreviewed	Uncharacterized protein	DCF15_03770	Phormidesmis priestleyi	295		
A0A2W4Y9B9	A0A2W4Y9B9	A0A2W4Y9B9_9CYAN	unreviewed	Diguanylate cyclase	DCF17_12940	Shackletoniella antarctica	160	GO:0010181	FMN binding [GO:0010181]
A0A2W6BWZ5	A0A2W6BWZ5	A0A2W6BWZ5_9PSEU	unreviewed	Uncharacterized protein	DLM60_20045	Pseudonocardiales bacterium	571	GO:0016021	integral component of membrane [GO:0016021]
A0A2W6XBA9	A0A2W6XBA9	A0A2W6XBA9_9MICO	unreviewed	SPFH/Band 7/PHB domain protein	DI571_05420	Arsenicicoccus sp.	455	GO:0016020	membrane [GO:0016020]
A0A2W6ZYW2	A0A2W6ZYW2	A0A2W6ZYW2_9CYAN	unreviewed	SLH domain-containing protein	DCF22_20830	Leptolyngbya sp.	558	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2W7A3F2	A0A2W7A3F2	A0A2W7A3F2_9CYAN	unreviewed	Photosystem I reaction center subunit XII	DCF22_18040	Leptolyngbya sp.	290	GO:0015979; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
A0A2W7A5K1	A0A2W7A5K1	A0A2W7A5K1_9CYAN	unreviewed	Superoxide dismutase (EC 1.15.1.1)	DCF22_16835	Leptolyngbya sp.	199	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A2W7A7K8	A0A2W7A7K8	A0A2W7A7K8_9CYAN	unreviewed	Diguanylate cyclase	DCF21_16845	Leptolyngbya sp.	160	GO:0010181	FMN binding [GO:0010181]
A0A2W7A8C5	A0A2W7A8C5	A0A2W7A8C5_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH DCF22_23695	Leptolyngbya sp.	525	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A2W7AB70	A0A2W7AB70	A0A2W7AB70_9CYAN	unreviewed	Uncharacterized protein	DCF22_14250	Leptolyngbya sp.	198	GO:0044384	host outer membrane [GO:0044384]
A0A2W7AMN4	A0A2W7AMN4	A0A2W7AMN4_9CYAN	unreviewed	Uncharacterized protein	DCF22_05270	Leptolyngbya sp.	294		
A0A2W7ANT1	A0A2W7ANT1	A0A2W7ANT1_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB DCF22_04280	Leptolyngbya sp.	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W7AQJ2	A0A2W7AQJ2	A0A2W7AQJ2_9CYAN	unreviewed	Uncharacterized protein	DCF22_02745	Leptolyngbya sp.	1044	GO:0016021	integral component of membrane [GO:0016021]
A0A2W7AQM0	A0A2W7AQM0	A0A2W7AQM0_9CYAN	unreviewed	50S ribosomal protein L10	rplJ rpl10 DCF22_03230	Leptolyngbya sp.	177	GO:0003735; GO:0006412; GO:0015934; GO:0042254; GO:0070180	large ribosomal subunit [GO:0015934]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; ribosome biogenesis [GO:0042254]; translation [GO:0006412]
A0A2W7AQM2	A0A2W7AQM2	A0A2W7AQM2_9CYAN	unreviewed	Porin	DCF22_02900	Leptolyngbya sp.	626	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2W7ATN5	A0A2W7ATN5	A0A2W7ATN5_9CYAN	unreviewed	DNA starvation/stationary phase protection protein	DCF22_02985	Leptolyngbya sp.	181	GO:0008199; GO:0016722	ferric iron binding [GO:0008199]; oxidoreductase activity, acting on metal ions [GO:0016722]
A0A2W7AUK6	A0A2W7AUK6	A0A2W7AUK6_9CYAN	unreviewed	Uncharacterized protein	DCF22_00905	Leptolyngbya sp.	244		
A0A2W7B013	A0A2W7B013	A0A2W7B013_9CYAN	unreviewed	Transaldolase (EC 2.2.1.2)	tal DCF22_06395	Leptolyngbya sp.	392	GO:0004801; GO:0005509; GO:0005737; GO:0005975; GO:0006098	cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]
A0A2W7B944	A0A2W7B944	A0A2W7B944_9CYAN	unreviewed	BMP family ABC transporter substrate-binding protein	DCF22_01000	Leptolyngbya sp.	390	GO:0005886	plasma membrane [GO:0005886]
A0A2W7BCH1	A0A2W7BCH1	A0A2W7BCH1_9CYAN	unreviewed	Molybdenum cofactor biosynthesis protein MoeB	DCF22_04905	Leptolyngbya sp.	390	GO:0004190; GO:0005524; GO:0008641	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; ubiquitin-like modifier activating enzyme activity [GO:0008641]
A0A2W7C488	A0A2W7C488	A0A2W7C488_9CYAN	unreviewed	DUF2267 domain-containing protein	DCF22_12360	Leptolyngbya sp.	192		
A0A2W7CI67	A0A2W7CI67	A0A2W7CI67_9CYAN	unreviewed	Uncharacterized protein	DCF21_09995	Leptolyngbya sp.	239		
A0A2Z2EMZ2	A0A2Z2EMZ2	A0A2Z2EMZ2_NODSP	unreviewed	C-phycocyanin beta subunit (Fragment)	cpcB	Nodularia spumigena CCNP 1436	77	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2Z2EVB1	A0A2Z2EVB1	A0A2Z2EVB1_NODSP	unreviewed	C-phycocyanin beta subunit (Fragment)	cpcB	Nodularia spumigena KAC71	77	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2Z2EVC3	A0A2Z2EVC3	A0A2Z2EVC3_NODSP	unreviewed	C-phycocyanin beta subunit (Fragment)	cpcB	Nodularia spumigena CCY9414	77	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2Z6CKJ8	A0A2Z6CKJ8	A0A2Z6CKJ8_PLAAG	unreviewed	LysR family transcriptional regulator	NIES204_43010	Planktothrix agardhii NIES-204	329	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A2Z6CXQ2	A0A2Z6CXQ2	A0A2Z6CXQ2_9NOSO	unreviewed	Phycoerythrocyanin beta chain	pecB NIES2109_38700	Nostoc sp. HK-01	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A328I2M0	A0A328I2M0	A0A328I2M0_9CYAN	unreviewed	Phycocyanin subunit beta	C6Y22_28895	Hapalosiphonaceae cyanobacterium JJU2	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A328I8X8	A0A328I8X8	A0A328I8X8_9CYAN	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH C6Y22_18460	Hapalosiphonaceae cyanobacterium JJU2	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
A0A349JNS6	A0A349JNS6	A0A349JNS6_9CYAN	unreviewed	Peroxiredoxin	DCS91_19350	Microcoleaceae bacterium UBA11344	146	GO:0016209; GO:0016491	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]
A0A349JPK8	A0A349JPK8	A0A349JPK8_9CYAN	unreviewed	Diguanylate cyclase	DCS91_21060	Microcoleaceae bacterium UBA11344	160	GO:0010181	FMN binding [GO:0010181]
A0A349JQ52	A0A349JQ52	A0A349JQ52_9CYAN	unreviewed	Uncharacterized protein	DCS91_22270	Microcoleaceae bacterium UBA11344	295		
A0A349JQJ6	A0A349JQJ6	A0A349JQJ6_9CYAN	unreviewed	Phycocyanin subunit beta	DCS91_23155	Microcoleaceae bacterium UBA11344	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A350XIR6	A0A350XIR6	A0A350XIR6_9CYAN	unreviewed	Bleomycin hydrolase	DCY88_25990	Cyanobacteria bacterium UBA11372	184	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A351LD54	A0A351LD54	A0A351LD54_9CYAN	unreviewed	Uncharacterized protein	DCZ55_30790	Cyanobacteria bacterium UBA11371	819		
A0A351LH46	A0A351LH46	A0A351LH46_9CYAN	unreviewed	Bleomycin hydrolase	DCZ55_38105	Cyanobacteria bacterium UBA11371	164	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A352AIZ3	A0A352AIZ3	A0A352AIZ3_9CYAN	unreviewed	Phycocyanin subunit beta	DC064_16880	Cyanobacteria bacterium UBA9273	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A352JBQ2	A0A352JBQ2	A0A352JBQ2_9CYAN	unreviewed	Phycocyanin subunit beta	DCZ88_04350	Pseudanabaena sp.	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A355CD69	A0A355CD69	A0A355CD69_9CYAN	unreviewed	Peroxiredoxin	DD001_02435	Microcoleaceae bacterium UBA10368	146	GO:0016209; GO:0016491	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]
A0A355CHA2	A0A355CHA2	A0A355CHA2_9CYAN	unreviewed	Diguanylate cyclase	DD001_08505	Microcoleaceae bacterium UBA10368	160	GO:0010181	FMN binding [GO:0010181]
A0A355CKI8	A0A355CKI8	A0A355CKI8_9CYAN	unreviewed	DNA recombination-mediator protein A	DD001_14990	Microcoleaceae bacterium UBA10368	167		
A0A355CQZ5	A0A355CQZ5	A0A355CQZ5_9CYAN	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH DD001_22320	Microcoleaceae bacterium UBA10368	622	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]
A0A355DKW7	A0A355DKW7	A0A355DKW7_9CYAN	unreviewed	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	DD379_06120	Cyanobacteria bacterium UBA11162	320	GO:0015979; GO:0015995; GO:0016630	protochlorophyllide reductase activity [GO:0016630]; chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]
A0A357A6Y5	A0A357A6Y5	A0A357A6Y5_9CYAN	unreviewed	Carbon dioxide-concentrating protein CcmK	DD761_07525	Cyanobacteria bacterium UBA11691	112	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A378ZX94	A0A378ZX94	A0A378ZX94_9RHOB	unreviewed	D-ribose-binding periplasmic protein	rbsB_1 NCTC13350_02712	Pannonibacter phragmitetus	339		
A0A399Y4X4	A0A399Y4X4	A0A399Y4X4_9BACT	unreviewed	PHB domain-containing protein	DCC50_14055	Acidobacteria bacterium	421	GO:0016021	integral component of membrane [GO:0016021]
A0A3B8JD98	A0A3B8JD98	A0A3B8JD98_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH DCE56_00520	Cyanobacteria bacterium UBA8553	519	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A3B8JL91	A0A3B8JL91	A0A3B8JL91_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB DCE56_26230	Cyanobacteria bacterium UBA8553	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3B8Y5K9	A0A3B8Y5K9	A0A3B8Y5K9_9CYAN	unreviewed	Uncharacterized protein	DCF68_06955	Cyanothece sp. UBA12306	295		
A0A3B9VYC8	A0A3B9VYC8	A0A3B9VYC8_ARTSP	unreviewed	Elongation factor Tu (Fragment)	tuf DCL83_05730	Arthrobacter sp.	336	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A3C0N621	A0A3C0N621	A0A3C0N621_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB DCP31_12430	Cyanobacteria bacterium UBA8543	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3C0NGL0	A0A3C0NGL0	A0A3C0NGL0_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH DCP31_33005	Cyanobacteria bacterium UBA8543	519	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A3D4V824	A0A3D4V824	A0A3D4V824_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DGD08_08825	Gemmatimonas aurantiaca	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A3D5G5Q3	A0A3D5G5Q3	A0A3D5G5Q3_9CYAN	unreviewed	Ribulose bisphosphate carboxylase small subunit	DGO89_01540	Microcoleaceae bacterium UBA9251	111	GO:0016984	ribulose-bisphosphate carboxylase activity [GO:0016984]
A0A3D5G6E0	A0A3D5G6E0	A0A3D5G6E0_9CYAN	unreviewed	DNA recombination-mediator protein A	DGO89_06620	Microcoleaceae bacterium UBA9251	167		
A0A3D5G7G8	A0A3D5G7G8	A0A3D5G7G8_9CYAN	unreviewed	Peroxiredoxin	DGO89_10030	Microcoleaceae bacterium UBA9251	146	GO:0016209; GO:0016491	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]
A0A3D5G991	A0A3D5G991	A0A3D5G991_9CYAN	unreviewed	Diguanylate cyclase	DGO89_13610	Microcoleaceae bacterium UBA9251	160	GO:0010181	FMN binding [GO:0010181]
A0A3E0LPB7	A0A3E0LPB7	A0A3E0LPB7_9CHRO	unreviewed	Phycocyanin subunit beta	DWQ53_04015	Microcystis flos-aquae DF17	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3E0MAA9	A0A3E0MAA9	A0A3E0MAA9_MICAE	unreviewed	Phycocyanin subunit beta	DWQ56_13730	Microcystis aeruginosa DA14	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3F3KKQ5	A0A3F3KKQ5	A0A3F3KKQ5_9CYAN	unreviewed	DNA recombination-mediator protein A	CEP08_01555	Cylindrospermopsis raciborskii S05	167	GO:0009294	DNA mediated transformation [GO:0009294]
A0A3F3KKV0	A0A3F3KKV0	A0A3F3KKV0_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH CEP08_00780	Cylindrospermopsis raciborskii S05	516	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A3G1I9A5	A0A3G1I9A5	A0A3G1I9A5_9FLOR	unreviewed	Phycocyanin beta	rpcB	Sheathia arcuata	172	GO:0009535; GO:0015979; GO:0018298; GO:0030089	chloroplast thylakoid membrane [GO:0009535]; phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3G6X037	A0A3G6X037	A0A3G6X037_SYNEL	unreviewed	LysR family transcriptional regulator	DOP62_07420	Synechococcus elongatus PCC 11801	329	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A3G9JAV5	A0A3G9JAV5	A0A3G9JAV5_MICVR	unreviewed	Phycocyanin beta subunit	cpcB1 myaer102_01450	Microcystis viridis NIES-102	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3L7S4W9	A0A3L7S4W9	A0A3L7S4W9_9BACT	unreviewed	Fasciclin domain-containing protein	DWI02_10815	Planctomycetes bacterium	160		
A0A3M0YAC9	A0A3M0YAC9	A0A3M0YAC9_9CYAN	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp D6822_06030	Cyanobacteria bacterium J149	718	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A3M1PDM9	A0A3M1PDM9	A0A3M1PDM9_9CYAN	unreviewed	Peroxiredoxin	D6742_12745	Cyanobacteria bacterium J069	145	GO:0016209; GO:0016491	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]
A0A3M7PQY2	A0A3M7PQY2	A0A3M7PQY2_BRAPC	unreviewed	Tubulin beta chain	BpHYR1_002419	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	444	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
A0A3M9YWI1	A0A3M9YWI1	A0A3M9YWI1_9CYAN	unreviewed	DNA nickase	EDM05_34605	Leptolyngbya sp. IPPAS B-1204	345		
A0A3M9Z7G0	A0A3M9Z7G0	A0A3M9Z7G0_9CYAN	unreviewed	SLH domain-containing protein	EDM05_15580	Leptolyngbya sp. IPPAS B-1204	533	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A3M9ZA52	A0A3M9ZA52	A0A3M9ZA52_9CYAN	unreviewed	Phycocyanin subunit beta	EDM05_12665	Leptolyngbya sp. IPPAS B-1204	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3M9ZEC8	A0A3M9ZEC8	A0A3M9ZEC8_9CYAN	unreviewed	50S ribosomal protein L1	rplA rpl1 EDM05_00260	Leptolyngbya sp. IPPAS B-1204	238	GO:0000049; GO:0003735; GO:0006412; GO:0006417; GO:0015934; GO:0019843	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]
A0A3M9ZEJ2	A0A3M9ZEJ2	A0A3M9ZEJ2_9CYAN	unreviewed	Organic solvent tolerance protein OstA	EDM05_03785	Leptolyngbya sp. IPPAS B-1204	170		
A0A3N0VP99	A0A3N0VP99	A0A3N0VP99_MICAE	unreviewed	Phycocyanin subunit beta	ED562_21370	Microcystis aeruginosa FACHB-524	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A3N5LDW0	A0A3N5LDW0	A0A3N5LDW0_9GAMM	unreviewed	Fasciclin domain-containing protein	EHM60_09735	Xanthomonadales bacterium	174		
A0A3N6PG05	A0A3N6PG05	A0A3N6PG05_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH D5R40_08885	Okeania hirsuta	514	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A3S0Y299	A0A3S0Y299	A0A3S0Y299_CHLFR	unreviewed	LysR family transcriptional regulator	ycf30 PCC6912_01480	Chlorogloeopsis fritschii PCC 6912	339	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A3S1FJC1	A0A3S1FJC1	A0A3S1FJC1_CHLFR	unreviewed	Nitrate/nitrite transport system substrate-binding protein	nrtA PCC6912_32010	Chlorogloeopsis fritschii PCC 6912	441	GO:0006811	ion transport [GO:0006811]
A0A3S5K283	A0A3S5K283	A0A3S5K283_CHLFR	unreviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG atpC PCC6912_22390	Chlorogloeopsis fritschii PCC 6912	315	GO:0005524; GO:0031676; GO:0045261; GO:0046933	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A401IN79	A0A401IN79	A0A401IN79_APHSA	unreviewed	Phycobilisome core component	AsFPU1_4154	Aphanothece sacrum FPU1	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A402DEG4	A0A402DEG4	A0A402DEG4_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MiAbB_02502	Microcystis aeruginosa NIES-4285	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
