yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A2T1DLW4	A0A2T1DLW4	A0A2T1DLW4_9CYAN	unreviewed	50S ribosomal protein L23	rplW rpl23 C7B65_02590	Phormidesmis priestleyi ULC007	100	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DLY1	A0A2T1DLY1	A0A2T1DLY1_9CYAN	unreviewed	30S ribosomal protein S3	rpsC rps3 C7B65_02570	Phormidesmis priestleyi ULC007	250	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DLZ5	A0A2T1DLZ5	A0A2T1DLZ5_9CYAN	unreviewed	50S ribosomal protein L3	rplC rpl3 C7B65_02600	Phormidesmis priestleyi ULC007	215	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DLZ6	A0A2T1DLZ6	A0A2T1DLZ6_9CYAN	unreviewed	50S ribosomal protein L6	rplF rpl6 C7B65_02530	Phormidesmis priestleyi ULC007	182	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DM10	A0A2T1DM10	A0A2T1DM10_9CYAN	unreviewed	50S ribosomal protein L29	rpmC rpl29 C7B65_02560	Phormidesmis priestleyi ULC007	70	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DM28	A0A2T1DM28	A0A2T1DM28_9CYAN	unreviewed	50S ribosomal protein L17	rplQ rpl17 C7B65_02475	Phormidesmis priestleyi ULC007	116	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DME1	A0A2T1DME1	A0A2T1DME1_9CYAN	unreviewed	Tetratricopeptide repeat protein	C7B65_03470	Phormidesmis priestleyi ULC007	294		
A0A2T1DN44	A0A2T1DN44	A0A2T1DN44_9CYAN	unreviewed	PDZ domain-containing protein	C7B65_00145	Phormidesmis priestleyi ULC007	420	GO:0004252	serine-type endopeptidase activity [GO:0004252]
A0A2T1DNH6	A0A2T1DNH6	A0A2T1DNH6_9CYAN	unreviewed	TldD/PmbA family protein	C7B65_00900	Phormidesmis priestleyi ULC007	446	GO:0008237	metallopeptidase activity [GO:0008237]
A0A2T1DNJ3	A0A2T1DNJ3	A0A2T1DNJ3_9CYAN	unreviewed	Cupin domain-containing protein	C7B65_01075	Phormidesmis priestleyi ULC007	113		
A0A2T1DNZ4	A0A2T1DNZ4	A0A2T1DNZ4_9CYAN	unreviewed	Pentapeptide repeat-containing protein	C7B65_02120	Phormidesmis priestleyi ULC007	217		
A0A2T1DYS7	A0A2T1DYS7	A0A2T1DYS7_9CYAN	unreviewed	Phosphate-binding protein	pstS C7B82_22285	Stenomitos frigidus ULC18	371	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A2T1E0J3	A0A2T1E0J3	A0A2T1E0J3_9CYAN	unreviewed	ADP-ribose pyrophosphatase	C7B82_20270	Stenomitos frigidus ULC18	117		
A0A2T1E3Z0	A0A2T1E3Z0	A0A2T1E3Z0_9CYAN	unreviewed	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC C7B82_16465	Stenomitos frigidus ULC18	221	GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; P-type potassium transmembrane transporter activity [GO:0008556]
A0A2T1E527	A0A2T1E527	A0A2T1E527_9CYAN	unreviewed	Peptidase M16	C7B82_15915	Stenomitos frigidus ULC18	956	GO:0046872	metal ion binding [GO:0046872]
A0A2T1E5R4	A0A2T1E5R4	A0A2T1E5R4_9CYAN	unreviewed	S-layer homology domain-containing protein	C7B82_14685	Stenomitos frigidus ULC18	429		
A0A2T1EDY4	A0A2T1EDY4	A0A2T1EDY4_9CHRO	unreviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB C7B70_14830	Chlorogloea sp. CCALA 695	692	GO:0000287; GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
A0A2T1ERX8	A0A2T1ERX8	A0A2T1ERX8_9CHRO	unreviewed	SLH domain-containing protein	C7B70_01220	Chlorogloea sp. CCALA 695	598	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2T1F559	A0A2T1F559	A0A2T1F559_9CYAN	unreviewed	Probable phosphoketolase (EC 4.1.2.-)	C7B69_00155	filamentous cyanobacterium Phorm 46	807	GO:0005975; GO:0016832	aldehyde-lyase activity [GO:0016832]; carbohydrate metabolic process [GO:0005975]
A0A2T3Y0K0	A0A2T3Y0K0	A0A2T3Y0K0_9BURK	unreviewed	Hydroxyacid dehydrogenase	C9I57_00365	Trinickia symbiotica	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2T4WY46	A0A2T4WY46	A0A2T4WY46_9BACT	unreviewed	Por_Secre_tail domain-containing protein	DA408_18080	Bacteroidetes bacterium	685		
A0A2T5Y078	A0A2T5Y078	A0A2T5Y078_SPHFK	unreviewed	Putative zinc-type alcohol dehydrogenase-like protein	C8N37_107138	Sphingobacterium faecium (strain DSM 11690 / JCM 21820 / NBRC 15299 / NCIMB 13408 / KS 0470)	349	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2T5YAL8	A0A2T5YAL8	A0A2T5YAL8_SPHFK	unreviewed	Carboxypeptidase family protein	C8N37_101277	Sphingobacterium faecium (strain DSM 11690 / JCM 21820 / NBRC 15299 / NCIMB 13408 / KS 0470)	1104	GO:0004180; GO:0030246	carbohydrate binding [GO:0030246]; carboxypeptidase activity [GO:0004180]
A0A2T6D7X7	A0A2T6D7X7	A0A2T6D7X7_9BACT	unreviewed	Nex18 symbiotically induced protein	DB354_04535	Opitutus sp. ER46	164		
A0A2U0SBU0	A0A2U0SBU0	A0A2U0SBU0_9SPHN	unreviewed	TonB-dependent receptor	DD559_05380	Sphingomonas pokkalii	796	GO:0009279	cell outer membrane [GO:0009279]
A0A2U0ZL71	A0A2U0ZL71	A0A2U0ZL71_9BURK	unreviewed	CHRD domain-containing protein	C7518_101295	Variovorax sp. GV014	149		
A0A2V2D6Z4	A0A2V2D6Z4	A0A2V2D6Z4_9FIRM	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD DBX36_03290	Oscillospiraceae bacterium	467	GO:0005524; GO:0005886; GO:0045261; GO:0046933; GO:0046961	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A2V8QGY6	A0A2V8QGY6	A0A2V8QGY6_9BACT	unreviewed	RNA-binding protein	DMF73_04180	Acidobacteria bacterium	135	GO:0003676	nucleic acid binding [GO:0003676]
A0A2V9MKA2	A0A2V9MKA2	A0A2V9MKA2_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DMG06_15730	Acidobacteria bacterium	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2W1UU11	A0A2W1UU11	A0A2W1UU11_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES DEI95_03805	Curtobacterium sp. MCBD17_008	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2W1VL16	A0A2W1VL16	A0A2W1VL16_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK	DEJ22_02305	Curtobacterium sp. MCSS17_007	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A2W1ZBA5	A0A2W1ZBA5	A0A2W1ZBA5_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK	DEJ23_01440	Curtobacterium sp. MCSS17_008	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A2W4P938	A0A2W4P938	A0A2W4P938_9PROT	unreviewed	Sugar ABC transporter	DIU65_05140	Proteobacteria bacterium	342		
A0A2W4YJ94	A0A2W4YJ94	A0A2W4YJ94_9CYAN	unreviewed	Cell division protein SepF	sepF DCF17_06530	Shackletoniella antarctica	199	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A2W5A3T5	A0A2W5A3T5	A0A2W5A3T5_9SPHN	unreviewed	Flagellar motor protein MotB	DI623_13125	Sphingomonas sanxanigenens	373	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A2W5C5K0	A0A2W5C5K0	A0A2W5C5K0_9SPHN	unreviewed	TonB-dependent receptor	DI623_10095	Sphingomonas sanxanigenens	787	GO:0009279	cell outer membrane [GO:0009279]
A0A2W5XGX1	A0A2W5XGX1	A0A2W5XGX1_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DLM50_00950	Candidatus Eremiobacteraeota bacterium	556	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2W5Y101	A0A2W5Y101	A0A2W5Y101_9BACT	unreviewed	Cu_amine_oxidN1 domain-containing protein	DLM50_07705	Candidatus Eremiobacteraeota bacterium	454		
A0A2W5YQ75	A0A2W5YQ75	A0A2W5YQ75_9BACT	unreviewed	Uncharacterized protein	DLM50_05355	Candidatus Eremiobacteraeota bacterium	459		
A0A2W6DR51	A0A2W6DR51	A0A2W6DR51_9PSEU	unreviewed	Phosphodiesterase	DLM61_17400	Pseudonocardiales bacterium	550	GO:0003824	catalytic activity [GO:0003824]
A0A2W7AEH5	A0A2W7AEH5	A0A2W7AEH5_9CYAN	unreviewed	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC DCF22_09690	Leptolyngbya sp.	214	GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; P-type potassium transmembrane transporter activity [GO:0008556]
A0A2W7AHN2	A0A2W7AHN2	A0A2W7AHN2_9CYAN	unreviewed	Cell division protein SepF	sepF DCF20_11275	Pseudanabaena sp.	194	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A2W7AIS6	A0A2W7AIS6	A0A2W7AIS6_9CYAN	unreviewed	S-layer homology domain-containing protein	DCF22_08990	Leptolyngbya sp.	430		
A0A2W7HB62	A0A2W7HB62	A0A2W7HB62_9BURK	unreviewed	CHRD domain-containing protein	C7517_101193	Variovorax sp. GV004	149		
A0A2Z3GHE9	A0A2Z3GHE9	A0A2Z3GHE9_9BACT	unreviewed	Por_Secre_tail domain-containing protein	DDQ68_01790	Hymenobacter nivis	1261		
A0A2Z3GJ66	A0A2Z3GJ66	A0A2Z3GJ66_9BACT	unreviewed	SusC/RagA family protein	DDQ68_05530	Hymenobacter nivis	1007	GO:0009279	cell outer membrane [GO:0009279]
A0A2Z3GJP7	A0A2Z3GJP7	A0A2Z3GJP7_9BACT	unreviewed	OmpA-like domain-containing protein	DDQ68_03400	Hymenobacter nivis	544	GO:0005509; GO:0007155; GO:0016021	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell adhesion [GO:0007155]
A0A2Z3GK84	A0A2Z3GK84	A0A2Z3GK84_9BACT	unreviewed	OMP_b-brl_2 domain-containing protein	DDQ68_18570	Hymenobacter nivis	223		
A0A2Z3GLB4	A0A2Z3GLB4	A0A2Z3GLB4_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	DDQ68_20900	Hymenobacter nivis	1089	GO:0009279	cell outer membrane [GO:0009279]
A0A2Z3GQB7	A0A2Z3GQB7	A0A2Z3GQB7_9BACT	unreviewed	Uncharacterized protein	DDQ68_14520	Hymenobacter nivis	340		
A0A2Z3GV62	A0A2Z3GV62	A0A2Z3GV62_9BACT	unreviewed	TonB-dependent receptor	DDQ68_20215	Hymenobacter nivis	1175		
A0A2Z4HGE4	A0A2Z4HGE4	A0A2Z4HGE4_9EUKA	unreviewed	Photosystem I reaction center subunit IV	psaE	Cyanophora sudae	69	GO:0009536; GO:0009538; GO:0015979; GO:0042651	photosystem I reaction center [GO:0009538]; plastid [GO:0009536]; thylakoid membrane [GO:0042651]; photosynthesis [GO:0015979]
A0A2Z4UTZ0	A0A2Z4UTZ0	A0A2Z4UTZ0_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES DRB96_08440	Streptomyces sp. ICC1	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2Z6CUC6	A0A2Z6CUC6	A0A2Z6CUC6_9NOSO	unreviewed	Short-chain dehydrogenase/reductase SDR	NIES2109_27320	Nostoc sp. HK-01	249	GO:0016491	oxidoreductase activity [GO:0016491]
A0A318QW11	A0A318QW11	A0A318QW11_9PROT	unreviewed	30S ribosomal protein S19	rpsS CFR80_06875	Komagataeibacter oboediens	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A318T0R5	A0A318T0R5	A0A318T0R5_9RHIZ	unreviewed	General L-amino acid-binding protein	C7477_11565	Phyllobacterium leguminum	343		
A0A318X6Q0	A0A318X6Q0	A0A318X6Q0_9BRAD	unreviewed	30S ribosomal protein S19	rpsS C7490_103148	Bosea sp. CF476	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A326UG67	A0A326UG67	A0A326UG67_9CHLR	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES EI42_00954	Thermosporothrix hazakensis	96	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A328AZW9	A0A328AZW9	A0A328AZW9_9CAUL	unreviewed	TonB-dependent receptor	DJ021_13040	Phenylobacterium hankyongense	808	GO:0009279	cell outer membrane [GO:0009279]
A0A328I7Q7	A0A328I7Q7	A0A328I7Q7_9CYAN	unreviewed	Cell division protein SepF	sepF C6Y22_26185	Hapalosiphonaceae cyanobacterium JJU2	199	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A346DVS5	A0A346DVS5	A0A346DVS5_9PROT	unreviewed	OmpA family protein	CJF59_09915	Acetobacter pomorum	376	GO:0009279	cell outer membrane [GO:0009279]
A0A348MQS6	A0A348MQS6	A0A348MQS6_9RHOB	unreviewed	30S ribosomal protein S19	rpsS DCR25_04865	Rhodobacter sp.	93	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A350JII3	A0A350JII3	A0A350JII3_9FLAO	unreviewed	Hydroxyacid dehydrogenase	DCX14_06675	Flavobacteriales bacterium	348	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A354V935	A0A354V935	A0A354V935_9PROT	unreviewed	Cold-shock protein	DDZ81_21905	Acetobacteraceae bacterium	68	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A355BRD9	A0A355BRD9	A0A355BRD9_9BACT	unreviewed	Fasciclin	DDZ56_03565	Cytophagales bacterium	186		
A0A366F6Y5	A0A366F6Y5	A0A366F6Y5_9RHIZ	unreviewed	Probable phosphoketolase (EC 4.1.2.-)	DFR50_11992	Roseiarcus fermentans	812	GO:0005975; GO:0016832	aldehyde-lyase activity [GO:0016832]; carbohydrate metabolic process [GO:0005975]
A0A369TMV7	A0A369TMV7	A0A369TMV7_9RHOB	unreviewed	30S ribosomal protein S19	rpsS DU478_09690	Thalassococcus profundi	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A369UHI0	A0A369UHI0	A0A369UHI0_9GAMM	unreviewed	NAD(P)-dependent alcohol dehydrogenase	DVJ77_19230	Dyella tabacisoli	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A370R7N5	A0A370R7N5	A0A370R7N5_9BRAD	unreviewed	Porin	C7502_0960	Tardiphaga sp. CF115	509	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A372IMX0	A0A372IMX0	A0A372IMX0_9BACT	unreviewed	Cold-shock protein	D0Y96_11800	Acidipila sp. 4G-K13	66	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A377QSD1	A0A377QSD1	A0A377QSD1_9BURK	unreviewed	Uncharacterized protein	NCTC9796_03342	Janthinobacterium lividum	499		
A0A377RWR7	A0A377RWR7	A0A377RWR7_9BURK	unreviewed	Uncharacterized protein	NCTC8661_05663	Janthinobacterium lividum	187		
A0A388PW82	A0A388PW82	A0A388PW82_9ACTN	unreviewed	Cold shock protein ScoF (Cold-shock protein)	EMGBS13_02050 F2519_06070 F2531_05145 F2602_05665 F2856_01720 F2899_04810	Actinobacteria bacterium	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A397S3J8	A0A397S3J8	A0A397S3J8_9BURK	unreviewed	RNA recognition motif-containing protein	C8K28_1268	Pelomonas sp. BT06	177	GO:0003676	nucleic acid binding [GO:0003676]
A0A3A0AP24	A0A3A0AP24	A0A3A0AP24_9CHLR	unreviewed	Uncharacterized protein	DCC57_17875	Chloroflexi bacterium	504	GO:0016021	integral component of membrane [GO:0016021]
A0A3A5M9Q3	A0A3A5M9Q3	A0A3A5M9Q3_9MICO	unreviewed	LemA family protein	D6T64_17175	Cryobacterium sp. Hh39	188	GO:0016021	integral component of membrane [GO:0016021]
A0A3A5MAD6	A0A3A5MAD6	A0A3A5MAD6_9MICO	unreviewed	Integration host factor	D6T64_16780	Cryobacterium sp. Hh39	95	GO:0003677	DNA binding [GO:0003677]
A0A3C0Y375	A0A3C0Y375	A0A3C0Y375_9BURK	unreviewed	Porin	DCP03_02500	Polaromonas sp.	392	GO:0006811; GO:0015288; GO:0046930	pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A3C0YB48	A0A3C0YB48	A0A3C0YB48_9BURK	unreviewed	Transporter	DCP03_17800	Polaromonas sp.	104		
A0A3C1DVX1	A0A3C1DVX1	A0A3C1DVX1_9MICO	unreviewed	Cold-shock protein	DCP11_03650	Microbacteriaceae bacterium	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A3C1DZK8	A0A3C1DZK8	A0A3C1DZK8_9MICO	unreviewed	Phosphate-binding protein PstS	pstS DCP11_11080	Microbacteriaceae bacterium	363	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A3C1XZ92	A0A3C1XZ92	A0A3C1XZ92_9BURK	unreviewed	Hydroxyacid dehydrogenase	DCR74_13860	Achromobacter sp.	354	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A3D1AWC4	A0A3D1AWC4	A0A3D1AWC4_9BACT	unreviewed	TonB-dependent receptor	DEQ47_08750	Bryobacterales bacterium	972		
A0A3D1PCV2	A0A3D1PCV2	A0A3D1PCV2_9CYAN	unreviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB DEV81_16090	Cyanobacteria bacterium UBA11049	698	GO:0000287; GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
A0A3D2J228	A0A3D2J228	A0A3D2J228_9CHLR	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES DHW02_03250	Ktedonobacter sp.	96	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A3D2J2W0	A0A3D2J2W0	A0A3D2J2W0_9CHLR	unreviewed	Molecular chaperone GroEL (Fragment)	groEL DHW02_03255	Ktedonobacter sp.	203	GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]
A0A3D3YUG2	A0A3D3YUG2	A0A3D3YUG2_9ACTN	unreviewed	Uncharacterized protein	DIU14_03025	Actinobacteria bacterium	450		
A0A3D5JB04	A0A3D5JB04	A0A3D5JB04_9DELT	unreviewed	FAS1 domain-containing protein	DGB85_09540	Deltaproteobacteria bacterium	160		
A0A3D5VVI9	A0A3D5VVI9	A0A3D5VVI9_9BURK	unreviewed	Glycerophosphodiester phosphodiesterase	DHV01_15715	Rhodoferax sp.	391	GO:0006629; GO:0008081	phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]
A0A3D8K7L8	A0A3D8K7L8	A0A3D8K7L8_9BURK	unreviewed	D-ribose ABC transporter substrate-binding protein	DWV00_02070	Trinickia dinghuensis	317		
A0A3D9ZDQ1	A0A3D9ZDQ1	A0A3D9ZDQ1_9ACTN	unreviewed	Uncharacterized protein DUF4331	DFJ67_1495	Asanoa ferruginea	543	GO:0016021	integral component of membrane [GO:0016021]
A0A3E0KTL7	A0A3E0KTL7	A0A3E0KTL7_9CHRO	unreviewed	ArsA family ATPase	DWQ53_24460	Microcystis flos-aquae DF17	358		
A0A3E0LV60	A0A3E0LV60	A0A3E0LV60_MICAE	unreviewed	ArsA family ATPase	DWQ58_14610	Microcystis aeruginosa TA09	358		
A0A3E0W8F7	A0A3E0W8F7	A0A3E0W8F7_9MICO	unreviewed	Uncharacterized protein	B7R25_15685	Subtercola boreus	498	GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]
A0A3F3KM44	A0A3F3KM44	A0A3F3KM44_9CYAN	unreviewed	SLH domain-containing protein	CEP08_10535	Cylindrospermopsis raciborskii S05	537	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A3G4VZ46	A0A3G4VZ46	A0A3G4VZ46_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS2 groES groS EES41_22005	Streptomyces sp. ADI95-16	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A3G9JQW0	A0A3G9JQW0	A0A3G9JQW0_MICVR	unreviewed	Anion-transporting ATPase	myaer102_54710	Microcystis viridis NIES-102	358		
A0A3M1BRX8	A0A3M1BRX8	A0A3M1BRX8_9CHLR	unreviewed	Sugar ABC transporter substrate-binding protein	D6802_08030	Ardenticatenia bacterium	368		
A0A3M1KTJ3	A0A3M1KTJ3	A0A3M1KTJ3_9DELT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL D6760_07955	Deltaproteobacteria bacterium	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A3M1M3S2	A0A3M1M3S2	A0A3M1M3S2_9BACT	unreviewed	Fasciclin domain-containing protein	D6753_17135	Planctomycetes bacterium	342		
A0A3M1P4C3	A0A3M1P4C3	A0A3M1P4C3_9CYAN	unreviewed	30S ribosomal protein S8	rpsH rps8 D6742_19575	Cyanobacteria bacterium J069	133	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A3M9YTY4	A0A3M9YTY4	A0A3M9YTY4_9SPHN	unreviewed	TonB-dependent receptor	EDM03_04785	Porphyrobacter sp. IPPAS B-1204	1037	GO:0009279	cell outer membrane [GO:0009279]
A0A3M9Z996	A0A3M9Z996	A0A3M9Z996_9CYAN	unreviewed	50S ribosomal protein L17	rplQ rpl17 EDM05_17275	Leptolyngbya sp. IPPAS B-1204	116	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A3N0WY84	A0A3N0WY84	A0A3N0WY84_MICAE	unreviewed	ArsA family ATPase	ED562_06430	Microcystis aeruginosa FACHB-524	358		
A0A3N1JRM3	A0A3N1JRM3	A0A3N1JRM3_9BACT	unreviewed	Putative cold-shock DNA-binding protein	EDE14_4523	Granulicella sp. GAS466	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A3N1Q0E8	A0A3N1Q0E8	A0A3N1Q0E8_9MICO	unreviewed	30S ribosomal protein S8	rpsH EDF46_2870	Frondihabitans sp. PhB188	146	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
