"","Accession","n","Protein.Group","Description","codes","K2","K4","B1","B2","B3","B5","B6","K3","K5","B4","K1"
"320","tr|A0A2T1DHC9|A0A2T1DHC9_9CYAN",7,751,"Nucleoside diphosphate kinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=ndk PE=3 SV=1",1920490,6,2,5,13,8,3,7,NA,NA,NA,NA
"321","tr|A0A2T1DHF5|A0A2T1DHF5_9CYAN",4,1679,"Universal stress protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_09550 PE=3 SV=1",1920490,2,NA,4,5,7,NA,NA,NA,NA,NA,NA
"322","tr|A0A2T1DHK3|A0A2T1DHK3_9CYAN",7,879,"Red carotenoid-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_09880 PE=3 SV=1",1920490,7,7,4,10,2,NA,NA,NA,3,NA,2
"323","tr|A0A2T1DHN2|A0A2T1DHN2_9CYAN",2,2783,"AbrB family transcriptional regulator OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_16405 PE=4 SV=1",2107705,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"324","tr|A0A2T1DHY8|A0A2T1DHY8_9CYAN",6,1500,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_08525 PE=4 SV=1",1920490,NA,2,6,4,6,2,2,NA,NA,NA,NA
"325","tr|A0A2T1DI12|A0A2T1DI12_9CYAN",2,2872,"Fe-S cluster assembly protein SufD OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=sufD PE=3 SV=1",1920490,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"326","tr|A0A2T1DIB3|A0A2T1DIB3_9CYAN",5,1766,"Thiamine biosynthesis protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_08980 PE=4 SV=1",1920490,NA,NA,4,2,7,2,2,NA,NA,NA,NA
"327","tr|A0A2T1DIH2|A0A2T1DIH2_9CYAN",2,2647,"Cytochrome b6-f complex iron-sulfur subunit OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=petC PE=3 SV=1",1920490,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA
"328","tr|A0A2T1DIK6|A0A2T1DIK6_9CYAN",5,1420,"Cytochrome f OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=petA PE=3 SV=1",1920490,NA,NA,8,2,8,3,2,NA,NA,NA,NA
"329","tr|A0A2T1DIU0|A0A2T1DIU0_9CYAN",5,595,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_07875 PE=4 SV=1",1920490,NA,NA,17,7,15,10,4,NA,NA,NA,NA
"330","tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN",10,134,"60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1",1920490,22,22,23,35,40,12,20,4,3,NA,2
"331","tr|A0A2T1DJK5|A0A2T1DJK5_9CYAN",3,2019,"Aldo/keto reductase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_07210 PE=3 SV=1",1920490,NA,NA,4,6,2,NA,NA,NA,NA,NA,NA
"332","tr|A0A2T1DJS0|A0A2T1DJS0_9CYAN",7,517,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_06645 PE=4 SV=1",1920490,2,NA,7,15,12,7,5,NA,NA,NA,10
"333","tr|A0A2T1DK33|A0A2T1DK33_9CYAN",4,1654,"D-3-phosphoglycerate dehydrogenase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05230 PE=3 SV=1",1920490,3,2,NA,11,2,NA,NA,NA,NA,NA,NA
"334","tr|A0A2T1DKF9|A0A2T1DKF9_9CYAN",7,408,"Polyribonucleotide nucleotidyltransferase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pnp PE=3 SV=1",1920490,12,9,13,26,8,6,4,NA,NA,NA,NA
"335","tr|A0A2T1DKH7|A0A2T1DKH7_9CYAN",2,2491,"Molybdopterin-synthase adenylyltransferase MoeB OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05880 PE=4 SV=1",1920490,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"336","tr|A0A2T1DKM2|A0A2T1DKM2_9CYAN",3,1717,"Glycerophosphodiester phosphodiesterase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05990 PE=4 SV=1",1920490,NA,NA,3,4,10,NA,NA,NA,NA,NA,NA
"337","tr|A0A2T1DKN7|A0A2T1DKN7_9CYAN",4,2015,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05220 PE=4 SV=1",1920490,NA,NA,3,2,6,3,NA,NA,NA,NA,NA
"338","tr|A0A2T1DKV5|A0A2T1DKV5_9CYAN",10,3,"Phycocyanin subunit alpha OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=cpcA PE=3 SV=1",1920490,53,39,39,52,109,63,43,NA,16,12,9
"339","tr|A0A2T1DKV9|A0A2T1DKV9_9CYAN",11,18,"Phycocyanin subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04085 PE=3 SV=1",1920490,48,25,31,52,71,42,38,5,15,11,39
"340","tr|A0A2T1DKW8|A0A2T1DKW8_9CYAN",2,2518,"Single-stranded DNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04145 PE=4 SV=1",1920490,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA
"341","tr|A0A2T1DKX0|A0A2T1DKX0_9CYAN",2,1724,"Peptidase S41 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04190 PE=3 SV=1",1920490,NA,NA,7,NA,9,NA,NA,NA,NA,NA,NA
"342","tr|A0A2T1DL03|A0A2T1DL03_9CYAN",4,1575,"Photosystem I reaction center subunit XII OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04095 PE=3 SV=1",1920490,NA,NA,2,5,8,NA,3,NA,NA,NA,NA
"343","tr|A0A2T1DL13|A0A2T1DL13_9CYAN",10,116,"SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04375 PE=3 SV=1",1920490,3,12,33,44,48,21,24,4,3,3,NA
"344","tr|A0A2T1DL37|A0A2T1DL37_9CYAN",5,1207,"Glutamine synthetase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=glnA PE=3 SV=1",1920490,3,4,NA,11,6,NA,2,NA,NA,NA,NA
"345","tr|A0A2T1DL99|A0A2T1DL99_9CYAN",6,1354,"Allophycocyanin subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=apcB PE=3 SV=1",1920490,4,3,NA,4,3,4,6,NA,NA,NA,NA
"346","tr|A0A2T1DLE8|A0A2T1DLE8_9CYAN",4,2062,"Phycobilisome linker polypeptide OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04100 PE=4 SV=1",1920490,NA,NA,3,NA,5,3,2,NA,NA,NA,NA
"347","tr|A0A2T1DLH9|A0A2T1DLH9_9CYAN",5,82,"Phosphate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pstS PE=3 SV=1",1920490,NA,NA,53,46,67,39,26,NA,NA,NA,NA
"348","tr|A0A2T1DLU9|A0A2T1DLU9_9CYAN",8,410,"Photosystem I 16 kDa polypeptide OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_02270 PE=3 SV=1",1920490,9,8,13,5,24,4,8,NA,6,NA,NA
"349","tr|A0A2T1DLV5|A0A2T1DLV5_9CYAN",6,766,"50S ribosomal protein L5 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplE PE=3 SV=1",1920490,NA,NA,9,11,14,3,2,2,NA,NA,NA
"350","tr|A0A2T1DLW4|A0A2T1DLW4_9CYAN",5,1351,"50S ribosomal protein L23 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplW PE=3 SV=1",1920490,NA,NA,5,7,7,3,2,NA,NA,NA,NA
"351","tr|A0A2T1DLX1|A0A2T1DLX1_9CYAN",7,757,"30S ribosomal protein S5 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsE PE=3 SV=1",1920490,6,3,9,6,12,4,2,NA,NA,NA,NA
"352","tr|A0A2T1DLX5|A0A2T1DLX5_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=infA PE=3 SV=1",1920490,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"353","tr|A0A2T1DLY1|A0A2T1DLY1_9CYAN",2,1179,"30S ribosomal protein S3 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsC PE=3 SV=1",1920490,NA,NA,NA,21,NA,NA,4,NA,NA,NA,NA
"354","tr|A0A2T1DLY2|A0A2T1DLY2_9CYAN",4,1776,"50S ribosomal protein L15 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplO PE=3 SV=1",1920490,2,NA,3,5,6,NA,NA,NA,NA,NA,NA
"355","tr|A0A2T1DLZ3|A0A2T1DLZ3_9CYAN",7,1225,"50S ribosomal protein L2 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplB PE=3 SV=1",1920490,2,2,5,8,5,3,2,NA,NA,NA,NA
"356","tr|A0A2T1DLZ5|A0A2T1DLZ5_9CYAN",5,1869,"50S ribosomal protein L3 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplC PE=3 SV=1",1920490,NA,NA,2,4,4,2,2,NA,NA,NA,NA
"357","tr|A0A2T1DLZ6|A0A2T1DLZ6_9CYAN",4,1090,"50S ribosomal protein L6 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplF PE=3 SV=1",1920490,NA,NA,7,9,10,2,NA,NA,NA,NA,NA
"358","tr|A0A2T1DM10|A0A2T1DM10_9CYAN",3,1884,"50S ribosomal protein L29 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpmC PE=3 SV=1",1920490,NA,NA,3,6,5,NA,NA,NA,NA,NA,NA
"359","tr|A0A2T1DM89|A0A2T1DM89_9CYAN",10,179,"SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_02800 PE=3 SV=1",1920490,21,16,14,26,21,13,13,2,4,NA,21
"360","tr|A0A2T1DMD6|A0A2T1DMD6_9CYAN",4,1594,"30S ribosomal protein S18 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsR PE=3 SV=1",1920490,NA,2,8,6,4,NA,NA,NA,NA,NA,NA
"361","tr|A0A2T1DME1|A0A2T1DME1_9CYAN",2,2274,"Tetratricopeptide repeat protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_03470 PE=4 SV=1",1920490,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA
"362","tr|A0A2T1DMM9|A0A2T1DMM9_9CYAN",4,1861,"Photosystem I reaction center subunit XI OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=psaL PE=3 SV=1",1920490,NA,2,NA,5,5,3,NA,NA,NA,NA,NA
"363","tr|A0A2T1DMN4|A0A2T1DMN4_9CYAN",8,335,"ATP synthase subunit alpha OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=atpA PE=3 SV=1",1920490,15,9,12,12,16,17,13,NA,NA,NA,3
"364","tr|A0A2T1DN44|A0A2T1DN44_9CYAN",4,1104,"PDZ domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_00145 PE=3 SV=1",1920490,NA,NA,11,NA,7,9,2,NA,NA,NA,NA
"365","tr|A0A2T1DNF6|A0A2T1DNF6_9CYAN",2,2100,"ATP-dependent zinc metalloprotease FtsH OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=ftsH PE=3 SV=1",1920490,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"366","tr|A0A2T1DNH6|A0A2T1DNH6_9CYAN",3,2486,"TldD/PmbA family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_00900 PE=3 SV=1",1920490,NA,NA,2,4,3,NA,NA,NA,NA,NA,NA
"367","tr|A0A2T1DNJ3|A0A2T1DNJ3_9CYAN",4,1804,"Cupin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_01075 PE=4 SV=1",1920490,NA,NA,2,2,4,7,NA,NA,NA,NA,NA
"368","tr|A0A2T1DNN0|A0A2T1DNN0_9CYAN",10,122,"ATP synthase subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=atpD PE=3 SV=1",1920490,39,36,13,15,29,13,11,11,18,NA,4
"369","tr|A0A2T1DP56|A0A2T1DP56_9CYAN",6,903,"30S ribosomal protein S7 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsG PE=3 SV=1",1920490,5,NA,4,6,10,2,NA,9,NA,NA,NA
"370","tr|A0A2T1DR73|A0A2T1DR73_9CYAN",3,2032,"50S ribosomal subunit assembly factor BipA OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=typA PE=3 SV=1",2107705,5,2,NA,NA,NA,NA,NA,7,NA,NA,NA
"371","tr|A0A2T1DSJ7|A0A2T1DSJ7_9CYAN",2,958,"Fasciclin OS=Stenomitos frigidus ULC18 OX=2107698 GN=C7B82_31090 PE=4 SV=1",2107698,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","tr|A0A2T1DTX6|A0A2T1DTX6_9CYAN",9,162,"ATP synthase subunit beta OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=atpD PE=3 SV=1",2107705,54,31,NA,3,10,2,5,39,16,NA,4
"373","tr|A0A2T1DYR8|A0A2T1DYR8_9CYAN",2,2477,"Carbon dioxide concentrating mechanism protein CcmM OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_12345 PE=3 SV=1",2107705,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"374","tr|A0A2T1DYS7|A0A2T1DYS7_9CYAN",5,484,"Phosphate-binding protein OS=Stenomitos frigidus ULC18 OX=2107698 GN=pstS PE=3 SV=1",2107698,NA,NA,14,17,19,9,5,NA,NA,NA,NA
"375","tr|A0A2T1DYZ8|A0A2T1DYZ8_9CYAN",4,505,"Carbon dioxide-concentrating mechanism protein CcmK OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_12330 PE=3 SV=1",2107705,21,13,NA,NA,3,NA,NA,20,NA,NA,NA
"376","tr|A0A2T1E003|A0A2T1E003_9CYAN",4,966,"Bleomycin hydrolase OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_12025 PE=3 SV=1",2107705,6,2,NA,NA,NA,NA,NA,24,2,NA,NA
"377","tr|A0A2T1E007|A0A2T1E007_9CYAN",4,549,"Bleomycin hydrolase OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_12020 PE=3 SV=1",2107705,24,8,NA,NA,NA,NA,NA,23,2,NA,NA
"378","tr|A0A2T1E0P4|A0A2T1E0P4_9CYAN",9,369,"S-layer protein OS=Stenomitos frigidus ULC18 OX=2107698 GN=C7B82_20145 PE=3 SV=1",2107698,15,10,9,10,13,8,7,2,6,NA,NA
"379","tr|A0A2T1E4K7|A0A2T1E4K7_9CYAN",9,405,"Porin OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_10520 PE=3 SV=1",2107705,10,4,9,8,12,8,7,11,2,NA,NA
"380","tr|A0A2T1E7R4|A0A2T1E7R4_9CYAN",9,244,"Porin OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_09895 PE=3 SV=1",2107705,14,8,9,8,12,8,7,52,2,NA,NA
"381","tr|A0A2T1EA98|A0A2T1EA98_9CHRO",2,1850,"Phycocyanin subunit beta OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=C7B70_17840 PE=3 SV=1",2107693,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","tr|A0A2T1EDY4|A0A2T1EDY4_9CHRO",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=kdpB PE=3 SV=1",2107693,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"383","tr|A0A2T1EEF5|A0A2T1EEF5_9CHRO",2,3048,"LysR family transcriptional regulator OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=C7B70_14485 PE=3 SV=1",2107693,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","tr|A0A2T1EH77|A0A2T1EH77_9CHRO",2,2756,"Global nitrogen regulator NtcA OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=ntcA PE=4 SV=1",2107693,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"385","tr|A0A2T1ELH2|A0A2T1ELH2_9CYAN",2,2966,"Rhodanese-like domain-containing protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_06480 PE=4 SV=1",2107705,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","tr|A0A2T1EMH6|A0A2T1EMH6_9CYAN",4,1063,"Bicarbonate-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_06370 PE=3 SV=1",2107705,14,NA,2,2,NA,NA,NA,9,NA,NA,NA
"387","tr|A0A2T1EP47|A0A2T1EP47_9CYAN",3,2574,"NTP_transf_9 domain-containing protein OS=Stenomitos frigidus ULC18 OX=2107698 GN=C7B82_02990 PE=4 SV=1",2107698,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"388","tr|A0A2T1EPB5|A0A2T1EPB5_9CHRO",2,2577,"Allophycocyanin OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=C7B70_03620 PE=3 SV=1",2107693,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","tr|A0A2T1ERX8|A0A2T1ERX8_9CHRO",5,1355,"SLH domain-containing protein OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=C7B70_01220 PE=3 SV=1",2107693,NA,NA,5,9,4,2,3,NA,NA,NA,NA
"390","tr|A0A2T1EV35|A0A2T1EV35_9CYAN",2,2385,"DNA-directed RNA polymerase subunit alpha OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=rpoA PE=3 SV=1",2107705,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"391","tr|A0A2T1EV68|A0A2T1EV68_9CYAN",4,2059,"Translation initiation factor IF-1 OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=infA PE=3 SV=1",2107705,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"392","tr|A0A2T1EVB5|A0A2T1EVB5_9CYAN",4,1280,"30S ribosomal protein S9 OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=rpsI PE=3 SV=1",2107705,6,3,2,NA,NA,NA,NA,13,NA,NA,NA
"393","tr|A0A2T1EVW3|A0A2T1EVW3_9CYAN",2,932,"Phycobilisome rod-core linker polypeptide CpcG OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_04120 PE=3 SV=1",2107705,11,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"394","tr|A0A2T1F3L8|A0A2T1F3L8_9CYAN",2,1193,"Photosystem reaction center subunit H OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_02235 PE=4 SV=1",2107705,23,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"395","tr|A0A2T1F423|A0A2T1F423_9CYAN",3,539,"Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1",2107705,13,6,NA,NA,NA,NA,NA,38,NA,NA,NA
"396","tr|A0A2T1F559|A0A2T1F559_9CYAN",5,493,"Probable phosphoketolase OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_00155 PE=3 SV=1",2107705,NA,NA,16,37,4,2,2,NA,NA,NA,NA
"397","tr|A0A2T1F9Z9|A0A2T1F9Z9_9CYAN",3,2032,"50S ribosomal subunit assembly factor BipA OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=typA PE=3 SV=1",2107706,5,2,NA,NA,NA,NA,NA,7,NA,NA,NA
"398","tr|A0A2T1FAP2|A0A2T1FAP2_9CYAN",4,1280,"30S ribosomal protein S9 OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rpsI PE=3 SV=1",2107706,6,3,2,NA,NA,NA,NA,13,NA,NA,NA
"399","tr|A0A2T1FAW3|A0A2T1FAW3_9CYAN",2,2528,"Uncharacterized protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_25760 PE=4 SV=1",2107706,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"400","tr|A0A2T1FCA5|A0A2T1FCA5_9CYAN",2,2966,"Rhodanese-like domain-containing protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_25045 PE=4 SV=1",2107706,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","tr|A0A2T1FDS3|A0A2T1FDS3_9CHRO",3,338,"Phycocyanin subunit beta OS=Cyanosarcina cf. burmensis CCALA 770 OX=2107697 GN=C7B80_25265 PE=3 SV=1",2107697,46,37,NA,NA,NA,NA,NA,NA,13,NA,NA
"402","tr|A0A2T1FEK3|A0A2T1FEK3_9CYAN",9,405,"Porin OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_23900 PE=3 SV=1",2107706,10,4,9,8,12,8,7,11,2,NA,NA
"403","tr|A0A2T1FGF6|A0A2T1FGF6_9CYAN",2,2111,"50S ribosomal protein L15 OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rplO PE=3 SV=1",2107706,10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"404","tr|A0A2T1FIY8|A0A2T1FIY8_9CYAN",5,694,"Polyribonucleotide nucleotidyltransferase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=pnp PE=3 SV=1",2107706,14,12,2,3,NA,NA,NA,15,NA,NA,NA
"405","tr|A0A2T1FK22|A0A2T1FK22_9CYAN",3,2132,"50S ribosomal protein L4 OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rplD PE=3 SV=1",2107706,7,NA,NA,2,NA,NA,NA,3,NA,NA,NA
"406","tr|A0A2T1FNZ0|A0A2T1FNZ0_9CYAN",9,244,"Porin OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_19935 PE=3 SV=1",2107706,14,8,9,8,12,8,7,52,2,NA,NA
"407","tr|A0A2T1FPT4|A0A2T1FPT4_9CYAN",2,2277,"Histidine kinase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_19620 PE=4 SV=1",2107706,5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"408","tr|A0A2T1FQI5|A0A2T1FQI5_9CYAN",4,1515,"DNA-directed RNA polymerase subunit beta' OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rpoC2 PE=3 SV=1",2107706,7,5,NA,7,2,NA,NA,NA,NA,NA,NA
"409","tr|A0A2T1FQR3|A0A2T1FQR3_9CYAN",4,1845,"Carbohydrate porin (Fragment) OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=C7B77_24390 PE=3 SV=1",2107692,5,5,NA,NA,NA,NA,NA,NA,2,NA,3
"410","tr|A0A2T1FWQ2|A0A2T1FWQ2_9CYAN",2,2228,"Uncharacterized protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_16880 PE=4 SV=1",2107706,3,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"411","tr|A0A2T1FYF9|A0A2T1FYF9_9CYAN",4,966,"Bleomycin hydrolase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_15900 PE=3 SV=1",2107706,6,2,NA,NA,NA,NA,NA,24,2,NA,NA
"412","tr|A0A2T1FYG1|A0A2T1FYG1_9CYAN",4,549,"Bleomycin hydrolase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_15895 PE=3 SV=1",2107706,24,8,NA,NA,NA,NA,NA,23,2,NA,NA
"413","tr|A0A2T1FYM6|A0A2T1FYM6_9CYAN",2,2352,"SpoVT-AbrB domain-containing protein OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=C7B77_23165 PE=4 SV=1",2107692,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"414","tr|A0A2T1G0C5|A0A2T1G0C5_9CYAN",9,162,"ATP synthase subunit beta OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=atpD PE=3 SV=1",2107706,54,31,NA,3,10,2,5,39,16,NA,4
"415","tr|A0A2T1G242|A0A2T1G242_9CYAN",3,539,"Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1",2107706,13,6,NA,NA,NA,NA,NA,38,NA,NA,NA
"416","tr|A0A2T1G2X4|A0A2T1G2X4_9CYAN",2,2172,"Type 1 glutamine amidotransferase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_10265 PE=3 SV=1",2107706,3,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"417","tr|A0A2T1G3I9|A0A2T1G3I9_9CYAN",2,2429,"Phospholipid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_09470 PE=4 SV=1",2107706,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"418","tr|A0A2T1G5A3|A0A2T1G5A3_9CYAN",4,505,"Carbon dioxide-concentrating mechanism protein CcmK OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_07055 PE=3 SV=1",2107706,21,13,NA,NA,3,NA,NA,20,NA,NA,NA
"419","tr|A0A2T1G5I5|A0A2T1G5I5_9CYAN",2,2477,"Carbon dioxide concentrating mechanism protein CcmM OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_07070 PE=3 SV=1",2107706,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"420","tr|A0A2T1G5U9|A0A2T1G5U9_9CYAN",2,932,"Phycobilisome rod-core linker polypeptide CpcG OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_06770 PE=3 SV=1",2107706,11,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"421","tr|A0A2T1G6L0|A0A2T1G6L0_9CYAN",2,2783,"AbrB family transcriptional regulator OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_05295 PE=4 SV=1",2107706,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"422","tr|A0A2T1G6W1|A0A2T1G6W1_9CYAN",4,1063,"Bicarbonate-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_04975 PE=3 SV=1",2107706,14,NA,2,2,NA,NA,NA,9,NA,NA,NA
"423","tr|A0A2T1G742|A0A2T1G742_9CYAN",2,2270,"Uncharacterized protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_04515 PE=4 SV=1",2107706,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"424","tr|A0A2T1G998|A0A2T1G998_9CYAN",2,1193,"Photosystem reaction center subunit H OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_01350 PE=4 SV=1",2107706,23,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"425","tr|A0A2T1GA01|A0A2T1GA01_9CYAN",4,1996,"Uncharacterized protein OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=C7B77_19060 PE=3 SV=1",2107692,2,6,NA,NA,NA,NA,NA,NA,2,NA,3
